Unnamed: 0,OAK,DEN
First Downs,15,24
Rush-Yds-TDs,17-87-0,40-155-2
Cmp-Att-Yd-TD-INT,17-41-178-0-1,19-29-268-0-1
Sacked-Yards,1-17,2-9
Net Pass Yards,161,259
Total Yards,248,414
Fumbles-Lost,2-1,0-0
Turnovers,2,1
Penalties-Yards,6-41,5-25
Third Down Conv.,6-14,8-15
Fourth Down Conv.,0-1,0-0
Time of Possession,21:28,38:32
