Quarter,Time,Tm,Detail,OAK,DEN
1.0,10:42,Broncos,Jason Elam 29 yard field goal,0,3
,0:33,Broncos,Jake Plummer 1 yard rush (Jason Elam kick),0,10
2.0,2:17,Broncos,Mike Anderson 2 yard rush (Jason Elam kick failed),0,16
3.0,13:13,Broncos,Jason Elam 33 yard field goal,0,19
,9:19,Broncos,Jason Elam 34 yard field goal,0,22
4.0,14:10,Raiders,Sebastian Janikowski 43 yard field goal,3,22
