Quarter,Time,Tm,Detail,BAL,CLE
1.0,8:32,Ravens,Ray Rice 8 yard rush (Justin Tucker kick),7,0
,0:01,Ravens,Bernard Pierce 12 yard rush (Justin Tucker kick),14,0
2.0,9:19,Browns,Phil Dawson 32 yard field goal,14,3
,1:47,Browns,Phil Dawson 28 yard field goal,14,6
,0:03,Browns,Phil Dawson 29 yard field goal,14,9
3.0,2:39,Browns,Phil Dawson 33 yard field goal,14,12
4.0,8:48,Browns,Phil Dawson 41 yard field goal,14,15
,4:26,Ravens,Torrey Smith 19 yard pass from Joe Flacco (Anquan Boldin pass from Joe Flacco),22,15
,2:49,Ravens,Justin Tucker 43 yard field goal,25,15
