Unnamed: 0,BAL,CLE
First Downs,18,17
Rush-Yds-TDs,37-137-2,27-116-0
Cmp-Att-Yd-TD-INT,15-24-153-1-0,20-37-176-0-2
Sacked-Yards,1-8,1-2
Net Pass Yards,145,174
Total Yards,282,290
Fumbles-Lost,0-0,1-0
Turnovers,0,2
Penalties-Yards,9-82,4-31
Third Down Conv.,5-14,5-16
Fourth Down Conv.,1-1,0-1
Time of Possession,31:32,28:28
