Quarter,Time,Tm,Detail,OAK,SDG
1.0,2:42,Chargers,Nick Novak 27 yard field goal,0,3
2.0,10:39,Raiders,Darren McFadden 5 yard rush (Sebastian Janikowski kick),7,3
,3:13,Chargers,Ryan Mathews 7 yard rush (Nick Novak kick),7,10
,0:10,Raiders,Sebastian Janikowski 20 yard field goal,10,10
3.0,5:00,Chargers,Keenan Allen 4 yard pass from Philip Rivers (Nick Novak kick),10,17
,0:56,Chargers,Nick Novak 48 yard field goal,10,20
4.0,14:51,Chargers,Nick Novak 28 yard field goal,10,23
,11:19,Raiders,Sebastian Janikowski 42 yard field goal,13,23
,6:23,Chargers,Nick Novak 33 yard field goal,13,26
