Unnamed: 0,OAK,SDG
First Downs,14,24
Rush-Yds-TDs,17-59-1,37-148-1
Cmp-Att-Yd-TD-INT,20-36-206-0-1,19-29-201-1-1
Sacked-Yards,1-0,1-5
Net Pass Yards,206,196
Total Yards,265,344
Fumbles-Lost,2-1,2-2
Turnovers,2,3
Penalties-Yards,12-73,3-24
Third Down Conv.,4-13,6-11
Fourth Down Conv.,1-2,0-0
Time of Possession,25:18,34:42
