Quarter,Time,Down,ToGo,Location,GNB,DEN,Detail,EPB,EPA
2,0:19,1,10,GNB 37,13,7,"Brett Favre sacked by Domonique Foxworth for -1 yards. Penalty on Jason Spitz: Offensive Holding, 10 yards (no play)",1.400,0.740
2,0:11,1,20,GNB 27,13,7,"Vernand Morency up the middle for 8 yards (tackle by Champ Bailey). Penalty on Jason Spitz: Offensive Holding, 10 yards",0.740,0.610
2,0:02,1,22,GNB 25,13,7,Brett Favre kneels for -1 yards,0.610,-0.900
Quarter,Time,Down,ToGo,Location,GNB,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 30,13,7,"Todd Sauerbrun kicks off 70 yards, touchback",0.000,0.280
3,15:00,1,10,GNB 20,13,7,Brett Favre pass complete short right to Korey Hall for 2 yards (tackle by Nick Ferguson),0.280,0.000
3,14:15,2,8,GNB 22,13,7,Ryan Grant left tackle for 6 yards (tackle by Alvin McKinley),0.000,0.100
3,13:36,3,2,GNB 28,13,7,"Ryan Grant right tackle for -2 yards (tackle by Nate Webster). Penalty on Alvin McKinley: Defensive Holding, 5 yards (no play)",0.100,1.140
3,13:15,1,10,GNB 33,13,7,Brett Favre pass complete short right to James Jones for 16 yards (tackle by Curome Cox),1.140,2.190
3,12:47,1,10,GNB 49,13,7,Brett Favre left end for -7 yards (tackle by Antwon Burton),2.190,0.700
3,12:09,2,17,GNB 42,13,7,Brett Favre pass complete short right to Ryan Grant for -2 yards (tackle by Champ Bailey),0.700,-0.230
3,11:27,3,19,GNB 40,13,7,Brett Favre pass complete short right to Vernand Morency for 3 yards (tackle by Champ Bailey),-0.230,-0.520
3,10:47,4,16,GNB 43,13,7,"Jon Ryan punts 57 yards, touchback",-0.520,-0.280
3,10:39,1,10,DEN 20,13,7,Jay Cutler pass complete deep left to Brandon Marshall for 26 yards (tackle by Nick Barnett),0.280,1.990
3,9:59,1,10,DEN 46,13,7,Selvin Young left tackle for 6 yards (tackle by Ryan Pickett),1.990,2.260
3,9:22,2,4,GNB 48,13,7,"Jay Cutler pass incomplete short left intended for Daniel Graham. Penalty on Al Harris: Illegal Contact, 5 yards (no play)",2.260,2.720
3,9:13,1,10,GNB 43,13,7,Selvin Young right tackle for 3 yards (tackle by Colin Cole),2.720,2.580
3,8:38,2,7,GNB 40,13,7,Jay Cutler pass complete short right to Cecil Sapp for 4 yards (tackle by Charles Woodson),2.580,2.410
3,7:57,3,3,GNB 36,13,7,Jay Cutler up the middle for 7 yards (tackle by Nick Barnett and A.J. Hawk),2.410,3.640
3,7:18,1,10,GNB 29,13,7,Jay Cutler pass complete short right to Selvin Young for 1 yard (tackle by Nick Barnett),3.640,3.240
3,6:39,2,9,GNB 28,13,7,Jay Cutler pass complete short left to Selvin Young for -6 yards (tackle by Johnny Jolly),3.240,1.750
3,5:58,3,15,GNB 34,13,7,Jay Cutler pass complete deep right to Glenn Martinez for 18 yards (tackle by Jarrett Bush),1.750,4.510
3,5:10,1,10,GNB 16,13,7,"Jay Cutler pass complete short middle to Andre Hall for 10 yards (tackle by Nick Barnett). Penalty on Erik Pears: Offensive Holding, 10 yards (no play)",4.510,3.840
3,4:45,1,20,GNB 26,13,7,"Selvin Young right end for 5 yards (tackle by Brady Poppinga). Penalty on Glenn Martinez: Offensive Holding, 10 yards",3.840,3.510
3,4:26,1,25,GNB 31,13,7,Jay Cutler pass incomplete short middle intended for Brandon Stokley,3.510,1.930
3,4:22,2,25,GNB 31,13,7,Jay Cutler pass complete short middle to Selvin Young for 11 yards (tackle by A.J. Hawk),1.930,2.740
3,3:36,3,14,GNB 20,13,7,Jay Cutler sacked by Aaron Kampman for -7 yards,2.740,1.670
3,3:05,4,21,GNB 27,13,10,Jason Elam 45 yard field goal good,1.670,3.000
3,,,,DEN 30,13,10,"Todd Sauerbrun kicks off 72 yards, returned by Tramon Williams for 22 yards (tackle by Jordan Beck). Penalty on Jason Hunter: Offensive Holding, 10 yards",0.000,-0.380
3,2:54,1,10,GNB 10,13,10,Ryan Grant left tackle for 7 yards (tackle by Domonique Foxworth),-0.380,-0.090
3,2:18,2,3,GNB 17,13,10,Brett Favre pass complete short right to Greg Jennings for 3 yards (tackle by Domonique Foxworth),-0.090,0.280
3,1:30,1,10,GNB 20,13,10,Brett Favre pass complete short right to Greg Jennings for 4 yards (tackle by Champ Bailey),0.280,0.270
3,0:52,2,6,GNB 24,13,10,Brett Favre pass complete short middle to Donald Driver for 7 yards (tackle by Domonique Foxworth),0.270,1.000
3,0:15,1,10,GNB 31,13,10,Brett Favre pass complete short left to Greg Jennings for 14 yards (tackle by Simeon Rice),1.000,1.930
Quarter,Time,Down,ToGo,Location,GNB,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,GNB 45,13,10,Ryan Grant left tackle for 4 yards (tackle by Simeon Rice and D.J. Williams),1.930,1.920
4,14:14,2,6,GNB 49,13,10,"Penalty on Brett Favre: Delay of Game, 5 yards (no play)",1.920,1.250
4,13:53,2,11,GNB 44,13,10,Brett Favre pass complete short left to Ryan Grant for 8 yards (tackle by Ian Gold),1.250,1.620
4,13:15,3,3,DEN 48,13,10,"Brett Favre sacked for -6 yards. Brett Favre fumbles, recovered by Brett Favre at GNB-46",1.620,-0.320
4,12:46,4,9,GNB 46,13,10,"Jon Ryan punts 54 yards, touchback",-0.320,-0.280
4,12:37,1,10,DEN 20,13,10,Jay Cutler pass complete short middle to Tony Scheffler for 12 yards (tackle by Atari Bigby),0.280,1.070
4,12:01,1,10,DEN 32,13,10,Jay Cutler pass incomplete short middle intended for Brandon Stokley,1.070,0.530
4,11:56,2,10,DEN 32,13,10,Jay Cutler pass complete deep right to Brandon Stokley for 16 yards (tackle by Al Harris),0.530,2.130
4,11:16,1,10,DEN 48,13,10,"Selvin Young left tackle for 18 yards (tackle by Nick Collins). Penalty on Brandon Marshall: Offensive Holding, 10 yards",2.130,3.290
4,10:09,1,2,GNB 44,13,10,Andre Hall right guard for 3 yards (tackle by Aaron Kampman and Cullen Jenkins),3.290,2.850
4,9:50,1,10,GNB 41,13,10,Brandon Marshall sacked by Aaron Kampman for -3 yards,2.850,1.900
4,9:11,,,,13,10,Timeout #1 by Denver Broncos,0.000,1.900
4,9:11,2,13,GNB 44,13,10,"Penalty on Matt Lepsis: False Start, 5 yards (no play)",1.900,1.230
4,9:11,2,18,GNB 49,13,10,"Jay Cutler pass incomplete short middle intended for Tony Scheffler (defended by A.J. Hawk). Penalty on Atari Bigby: Delay of Game, 5 yards",1.230,1.220
4,9:07,3,13,GNB 44,13,10,Jay Cutler pass complete short right to Selvin Young for 7 yards (tackle by Nick Barnett),1.220,0.790
4,8:25,4,6,GNB 37,13,10,Todd Sauerbrun punts 35 yards,0.790,0.380
4,8:15,1,10,GNB 3,13,10,Brett Favre pass complete short left to Greg Jennings for 18 yards (tackle by Dre' Bly),-0.380,0.340
4,7:47,1,10,GNB 21,13,10,Ryan Grant right tackle for -2 yards (tackle by Nate Webster),0.340,-0.530
4,7:04,2,12,GNB 19,13,10,Ryan Grant right tackle for 3 yards (tackle by D.J. Williams),-0.530,-0.760
4,6:20,3,9,GNB 22,13,10,Brett Favre pass complete deep right to Donald Driver for 17 yards (tackle by Champ Bailey),-0.760,1.530
4,5:35,1,10,GNB 39,13,10,Ryan Grant right tackle for 4 yards (tackle by D.J. Williams),1.530,1.530
4,4:49,2,6,GNB 43,13,10,Brett Favre pass complete short right to James Jones for 12 yards (tackle by Nick Ferguson),1.530,2.590
4,4:04,1,10,DEN 45,13,10,Ryan Grant left tackle for 1 yard (tackle by Simeon Rice),2.590,2.180
4,3:24,2,9,DEN 44,13,10,Ryan Grant left tackle for no gain (tackle by Ian Gold),2.180,1.490
4,2:40,3,9,DEN 44,13,10,Brett Favre pass incomplete short right intended for James Jones (defended by Champ Bailey),1.490,0.330
4,2:35,4,9,DEN 44,13,10,"Jon Ryan punts 37 yards, fair catch by Glenn Martinez",0.330,0.380
4,2:27,1,10,DEN 7,13,10,"Jay Cutler pass incomplete deep right intended for Tony Scheffler (defended by Atari Bigby). Penalty on Atari Bigby: Defensive Pass Interference, 17 yards (no play)",-0.380,0.540
4,2:21,1,10,DEN 24,13,10,Selvin Young left tackle for no gain (tackle by Nick Collins),0.540,0.000
4,2:00,2,10,DEN 24,13,10,Jay Cutler pass incomplete short right intended for Glenn Martinez (defended by Kabeer Gbaja-Biamila),0.000,-0.690
4,1:52,3,10,DEN 24,13,10,Jay Cutler pass complete short left to Brandon Stokley for 8 yards (tackle by Charles Woodson),-0.690,-1.240
4,1:37,,,,13,10,Timeout #2 by Denver Broncos,0.000,-1.240
4,1:37,4,2,DEN 32,13,10,Jay Cutler pass complete short left to Brandon Stokley for 7 yards (tackle by Al Harris),-1.240,1.530
4,1:32,1,10,DEN 39,13,10,Jay Cutler pass incomplete short right intended for Brandon Stokley,1.530,0.990
4,1:27,2,10,DEN 39,13,10,Jay Cutler pass complete short middle to Brandon Marshall for 35 yards (tackle by Nick Collins). Penalty on Charles Woodson: Defensive Holding (Declined),0.990,3.840
4,1:16,1,10,GNB 26,13,10,Jay Cutler pass complete short middle to Brandon Marshall for 13 yards (tackle by A.J. Hawk),3.840,4.710
4,0:38,1,10,GNB 13,13,10,Selvin Young right tackle for 9 yards (tackle by Kabeer Gbaja-Biamila),4.710,5.730
4,0:25,,,,13,10,Timeout #3 by Denver Broncos,0.000,5.730
4,0:25,2,1,GNB 4,13,10,Jay Cutler pass incomplete short left intended for Brandon Marshall,5.730,5.010
4,0:22,3,1,GNB 4,13,10,Jay Cutler up the middle for no gain (tackle by Ryan Pickett),5.010,3.040
4,0:03,4,1,GNB 4,13,13,Jason Elam 21 yard field goal good,3.040,3.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,GNB,DEN,Detail,EPB,EPA
,,,,,,,"Packers won the coin toss, Packers to receive the overtime kickoff.",,
OT,,,,DEN 30,13,13,"Todd Sauerbrun kicks off 71 yards, returned by Shaun Bodiford for 19 yards (tackle by Andre Hall)",0.000,0.040
OT,14:56,1,10,GNB 18,19,13,"Brett Favre pass complete deep left to Greg Jennings for 82 yards, touchdown",0.040,6.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
