Unnamed: 0,GNB,DEN
First Downs,20,24
Rush-Yds-TDs,27-105-0,24-88-0
Cmp-Att-Yd-TD-INT,21-27-331-2-0,21-34-264-1-0
Sacked-Yards,1-6,3-20
Net Pass Yards,325,244
Total Yards,430,332
Fumbles-Lost,1-0,1-1
Turnovers,0,1
Penalties-Yards,13-103,9-63
Third Down Conv.,4-10,3-10
Fourth Down Conv.,0-0,1-1
Time of Possession,30:41,29:35
