Quarter,Time,Tm,Detail,STL,DET
1.0,2:59,Lions,Jason Hanson 39 yard field goal,0,3
2.0,14:52,Rams,Brandon Manumaleuna 8 yard pass from Marc Bulger (Jeff Wilkins kick),7,3
,11:50,Lions,Bill Schroeder 13 yard pass from Joey Harrington (Jason Hanson kick),7,10
,6:06,Rams,Jeff Wilkins 51 yard field goal,10,10
,3:37,Rams,Marshall Faulk 2 yard rush (Jeff Wilkins kick),17,10
,0:23,Rams,Jeff Wilkins 36 yard field goal,20,10
3.0,11:43,Lions,Az-Zahir Hakim 13 yard pass from Joey Harrington (Jason Hanson kick),20,17
,5:30,Lions,Casey Fitzsimmons 2 yard pass from Joey Harrington (Jason Hanson kick),20,24
,2:56,Lions,Jason Hanson 38 yard field goal,20,27
4.0,14:29,Lions,Jason Hanson 50 yard field goal,20,30
