Unnamed: 0,STL,DET
First Downs,13,21
Rush-Yds-TDs,13-41-1,29-112-0
Cmp-Att-Yd-TD-INT,22-42-193-1-1,26-36-238-3-1
Sacked-Yards,4-40,1-8
Net Pass Yards,153,230
Total Yards,194,342
Fumbles-Lost,4-2,1-1
Turnovers,3,2
Penalties-Yards,7-35,6-50
Third Down Conv.,5-15,3-12
Fourth Down Conv.,1-2,2-2
Time of Possession,26:32,33:28
