Quarter,Time,Tm,Detail,ATL,TAM
1.0,12:37,Buccaneers,John Gilmore 5 yard pass from Brian Griese (Matt Bryant kick),0,7
2.0,11:08,Buccaneers,Warrick Dunn 17 yard rush (Matt Bryant kick),0,14
,9:07,Buccaneers,Matt Bryant 33 yard field goal,0,17
,0:12,Falcons,Jason Elam 32 yard field goal,3,17
3.0,1:03,Falcons,Jason Elam 27 yard field goal,6,17
4.0,5:12,Falcons,Jason Elam 24 yard field goal,9,17
,3:08,Buccaneers,Earnest Graham 68 yard rush (Matt Bryant kick),9,24
