Unnamed: 0,ATL,TAM
First Downs,14,15
Rush-Yds-TDs,28-105-0,28-164-2
Cmp-Att-Yd-TD-INT,13-33-158-0-2,18-31-160-1-0
Sacked-Yards,4-29,2-13
Net Pass Yards,129,147
Total Yards,234,311
Fumbles-Lost,2-0,1-1
Turnovers,2,1
Penalties-Yards,8-60,11-94
Third Down Conv.,7-19,6-14
Fourth Down Conv.,0-1,0-1
Time of Possession,29:38,30:22
