Unnamed: 0,DET,PHI
First Downs,16,22
Rush-Yds-TDs,28-86-1,30-127-1
Cmp-Att-Yd-TD-INT,18-32-201-1-0,19-36-259-2-0
Sacked-Yards,0-0,3-13
Net Pass Yards,201,246
Total Yards,287,373
Fumbles-Lost,0-0,3-2
Turnovers,0,2
Penalties-Yards,9-61,4-30
Third Down Conv.,6-14,7-13
Fourth Down Conv.,0-0,0-2
Time of Possession,27:42,32:18
