0,1
Game Info,Game Info
Won Toss,Lions (deferred)
Roof,outdoors
Surface,grass
Duration,3:09
Attendance,69796
Weather,"84 degrees, relative humidity 53%, wind 7 mph"
Vegas Line,Philadelphia Eagles -4.0
Over/Under,45.0 (over)
