Quarter,Time,Tm,Detail,DET,PHI
1.0,11:28,Eagles,Jake Elliott 25 yard field goal,0,3
,11:14,Lions,Jamal Agnew 100 yard kickoff return (Matt Prater kick),7,3
,6:15,Eagles,Jordan Howard 1 yard rush (Jake Elliott kick),7,10
2.0,14:09,Lions,Kerryon Johnson 1 yard rush (Matt Prater kick),14,10
,3:29,Lions,Matt Prater 25 yard field goal,17,10
,0:57,Lions,Matt Prater 33 yard field goal,20,10
3.0,4:15,Eagles,Nelson Agholor 20 yard pass from Carson Wentz (Jake Elliott kick),20,17
4.0,14:53,Lions,Marvin Jones 12 yard pass from Matthew Stafford (Matt Prater kick),27,17
,6:59,Eagles,Nelson Agholor 2 yard pass from Carson Wentz (Jake Elliott kick),27,24
