Quarter,Time,Tm,Detail,PIT,CIN
1.0,5:12,Bengals,Austin Seibert 34 yard field goal,0,3
2.0,12:05,Bengals,Giovani Bernard 4 yard rush (Austin Seibert kick),0,10
,4:20,Bengals,Giovani Bernard 14 yard pass from Ryan Finley (Austin Seibert kick),0,17
3.0,12:07,Steelers,Diontae Johnson 23 yard pass from Ben Roethlisberger (Chris Boswell kick),7,17
,5:27,Steelers,Chris Boswell 25 yard field goal,10,17
4.0,11:21,Bengals,Ryan Finley 23 yard rush (Austin Seibert kick),10,24
,5:32,Steelers,Benny Snell Jr. 1 yard rush (Chris Boswell kick),17,24
,0:12,Bengals,Austin Seibert 33 yard field goal,17,27
