Quarter,Time,Down,ToGo,Location,PIT,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss and deferred, Steelers to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Austin Seibert kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,PIT 25,0,0,Ben Roethlisberger pass incomplete deep right intended for James Washington (defended by Darius Phillips),0.610,0.060
1,14:54,2,10,PIT 25,0,0,Benny Snell right tackle for 2 yards (tackle by Mackensie Alexander),0.060,-0.360
1,14:15,3,8,PIT 27,0,0,Ben Roethlisberger pass incomplete short middle intended for Diontae Johnson,-0.360,-1.570
1,14:11,4,8,PIT 27,0,0,"Jordan Berry punts 53 yards, returned by Alex Erickson for 6 yards (tackle by Derek Watt)",-1.570,-0.670
1,14:00,1,10,CIN 26,0,0,Giovani Bernard right end for 8 yards (tackle by Terrell Edmunds and Marcus Allen),0.670,1.210
1,13:18,2,2,CIN 34,0,0,Giovani Bernard right tackle for no gain (tackle by T.J. Watt),1.210,0.500
1,12:35,3,2,CIN 34,0,0,Giovani Bernard right end for -5 yards (tackle by T.J. Watt),0.500,-1.440
1,12:01,4,7,CIN 29,0,0,"Kevin Huber punts 49 yards, returned by Ray-Ray McCloud for no gain (tackle by Stanley Morgan)",-1.440,-0.410
1,11:54,1,10,PIT 22,0,0,Ben Roethlisberger pass complete short right to JuJu Smith-Schuster for 4 yards (tackle by Mackensie Alexander),0.410,0.410
1,11:15,2,6,PIT 26,0,0,Ben Roethlisberger pass incomplete deep right intended for Diontae Johnson,0.410,-0.290
1,11:11,3,6,PIT 26,0,0,Ben Roethlisberger pass incomplete deep left intended for James Washington (defended by William Jackson),-0.290,-1.630
1,11:06,4,6,PIT 26,0,0,"Jordan Berry punts 50 yards, fair catch by Alex Erickson at CIN-24",-1.630,-0.540
1,10:58,1,10,CIN 24,0,0,Giovani Bernard left tackle for 7 yards (tackle by Avery Williamson and Marcus Allen),0.540,0.940
1,10:17,2,3,CIN 31,0,0,Giovani Bernard right guard for 1 yard (tackle by Mike Hilton),0.940,0.370
1,9:36,3,2,CIN 32,0,0,Ryan Finley pass incomplete short left intended for Tee Higgins (defended by Steven Nelson),0.370,-1.240
1,9:33,4,2,CIN 32,0,0,Kevin Huber punts 49 yards out of bounds,-1.240,-0.150
1,9:22,1,10,PIT 19,0,0,"Ben Roethlisberger aborted snap, recovered by Josh Bynes at PIT-20",0.150,-4.240
1,9:16,1,10,PIT 20,0,0,Samaje Perine right tackle for 1 yard (tackle by Avery Williamson),4.240,3.820
1,8:32,2,9,PIT 19,0,0,Ryan Finley pass complete short right to Tee Higgins for 9 yards (tackle by Joe Haden),3.820,4.910
1,7:49,1,10,PIT 10,0,0,"Penalty on Tee Higgins: False Start, 5 yards (no play)",4.910,4.370
1,7:24,1,15,PIT 15,0,0,Ryan Finley up the middle for 4 yards (tackle by Steven Nelson),4.370,4.020
1,6:41,2,11,PIT 11,0,0,Samaje Perine right tackle for 6 yards (tackle by Minkah Fitzpatrick and Avery Williamson),4.020,4.260
1,6:00,3,5,PIT 5,0,0,Ryan Finley sacked by T.J. Watt for -11 yards,4.260,2.380
1,5:16,4,16,PIT 16,0,3,Austin Seibert 34 yard field goal good,2.380,3.000
1,5:12,,,CIN 35,0,3,"Austin Seibert kicks off 65 yards, touchback.",0.000,0.610
1,5:12,1,10,PIT 25,0,3,Ben Roethlisberger pass complete short left to Ray-Ray McCloud for -2 yards (tackle by Darius Phillips),0.610,-0.210
1,4:31,2,12,PIT 23,0,3,Anthony McFarland right end for 5 yards (tackle by Germaine Pratt and Josh Bynes),-0.210,-0.230
1,3:48,,,,,,Timeout #1 by Pittsburgh Steelers,,
1,3:48,3,7,PIT 28,0,3,Ben Roethlisberger pass incomplete short right intended for Diontae Johnson (defended by Darius Phillips),-0.230,-1.500
1,3:43,4,7,PIT 28,0,3,"Jordan Berry punts 55 yards, returned by Alex Erickson for 11 yards (tackle by Jordan Dangerfield)",-1.500,-0.810
1,3:34,1,10,CIN 28,0,3,Ryan Finley pass complete deep right to A.J. Green for 30 yards,0.810,2.790
1,3:11,1,10,PIT 42,0,3,Ryan Finley pass incomplete deep right intended for Tyler Boyd (defended by Joe Haden),2.790,2.240
1,3:05,2,10,PIT 42,0,3,Trayveon Williams left guard for 5 yards (tackle by Cameron Heyward),2.240,2.210
1,2:24,3,5,PIT 37,0,3,Ryan Finley up the middle for no gain (tackle by Cameron Heyward),2.210,0.790
1,1:44,4,5,PIT 37,0,3,Austin Seibert 55 yard field goal no good,0.790,-1.930
1,1:39,1,10,PIT 45,0,3,Ben Roethlisberger pass incomplete short middle intended for Chase Claypool (defended by Germaine Pratt),1.930,1.380
1,1:35,2,10,PIT 45,0,3,Ben Roethlisberger pass complete short right to Benny Snell for 3 yards (tackle by Germaine Pratt),1.380,1.090
1,0:55,3,7,PIT 48,0,3,"Ben Roethlisberger pass complete short right to JuJu Smith-Schuster for -10 yards (tackle by Vonn Bell). JuJu Smith-Schuster fumbles (forced by Vonn Bell), recovered by Jordan Evans at PIT-38",1.090,-3.050
1,0:49,1,10,PIT 38,0,3,Giovani Bernard right guard for 1 yard (tackle by Tyson Alualu and Cameron Heyward),3.050,2.640
1,0:05,2,9,PIT 37,0,3,Ryan Finley right end for 6 yards (tackle by Minkah Fitzpatrick),2.640,2.740
Quarter,Time,Down,ToGo,Location,PIT,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,PIT 31,0,3,Ryan Finley pass complete short left to Tee Higgins for 14 yards (tackle by Minkah Fitzpatrick),2.740,4.440
2,14:22,1,10,PIT 17,0,3,Giovani Bernard left guard for 1 yard (tackle by Marcus Allen),4.440,4.000
2,13:42,2,9,PIT 16,0,3,Ryan Finley left end for 4 yards (tackle by Steven Nelson),4.000,3.880
2,12:55,3,5,PIT 12,0,3,Ryan Finley pass complete short right to Tee Higgins for 8 yards (tackle by Joe Haden),3.880,6.280
2,12:10,1,4,PIT 4,0,9,"Giovani Bernard right end for 4 yards, touchdown",6.280,7.000
