Unnamed: 0,PIT,CIN
First Downs,12,13
Rush-Yds-TDs,23-86-1,41-152-2
Cmp-Att-Yd-TD-INT,20-38-170-1-1,7-13-89-1-0
Sacked-Yards,1-12,2-11
Net Pass Yards,158,78
Total Yards,244,230
Fumbles-Lost,3-2,0-0
Turnovers,3,0
Penalties-Yards,4-30,2-16
Third Down Conv.,4-16,4-14
Fourth Down Conv.,1-2,0-0
Time of Possession,27:57,32:03
