Unnamed: 0,CIN,NWE
First Downs,17,30
Rush-Yds-TDs,18-79-0,46-220-1
Cmp-Att-Yd-TD-INT,18-29-249-2-0,23-35-292-2-0
Sacked-Yards,1-8,1-7
Net Pass Yards,241,285
Total Yards,320,505
Fumbles-Lost,3-3,1-0
Turnovers,3,0
Penalties-Yards,4-37,12-114
Third Down Conv.,0-7,6-16
Fourth Down Conv.,0-1,1-1
Time of Possession,21:04,38:56
