Unnamed: 0,NYG,PHI
First Downs,13,26
Rush-Yds-TDs,20-118-1,44-268-3
Cmp-Att-Yd-TD-INT,15-27-135-0-1,16-24-154-2-0
Sacked-Yards,5-26,1-6
Net Pass Yards,109,148
Total Yards,227,416
Fumbles-Lost,1-0,1-0
Turnovers,1,0
Penalties-Yards,1-5,5-25
Third Down Conv.,5-13,10-14
Fourth Down Conv.,1-3,0-0
Time of Possession,24:17,35:43
