Quarter,Time,Tm,Detail,NYG,PHI
1.0,10:06,Eagles,Dallas Goedert 16 yard pass from Jalen Hurts (Jake Elliott kick),0,7
,1:21,Eagles,DeVonta Smith 9 yard pass from Jalen Hurts (Jake Elliott kick),0,14
2.0,7:29,Eagles,Boston Scott 3 yard rush (Jake Elliott kick),0,21
,0:43,Eagles,Jalen Hurts 5 yard rush (Jake Elliott kick),0,28
3.0,6:15,Giants,Matt Breida 8 yard rush (Graham Gano kick),7,28
4.0,5:16,Eagles,Jake Elliott 30 yard field goal,7,31
,1:51,Eagles,Kenneth Gainwell 35 yard rush (Jake Elliott kick),7,38
