Unnamed: 0,CAR,DEN
First Downs,21,11
Rush-Yds-TDs,27-118-1,28-90-1
Cmp-Att-Yd-TD-INT,18-41-265-0-1,13-23-141-0-1
Sacked-Yards,7-68,5-37
Net Pass Yards,197,104
Total Yards,315,194
Fumbles-Lost,4-3,3-1
Turnovers,4,2
Penalties-Yards,12-102,6-51
Third Down Conv.,3-15,1-14
Fourth Down Conv.,0-0,0-0
Time of Possession,32:47,27:13
