Quarter,Time,Tm,Detail,CAR,DEN
1.0,10:43,Broncos,Brandon McManus 34 yard field goal,0,3
,6:27,Broncos,Malik Jackson fumble recovery in end zone (Brandon McManus kick),0,10
2.0,11:25,Panthers,Jonathan Stewart 1 yard rush (Graham Gano kick),7,10
,6:58,Broncos,Brandon McManus 33 yard field goal,7,13
3.0,8:18,Broncos,Brandon McManus 30 yard field goal,7,16
4.0,10:21,Panthers,Graham Gano 39 yard field goal,10,16
,3:08,Broncos,C.J. Anderson 2 yard rush (Bennie Fowler pass from Peyton Manning),10,24
