Unnamed: 0,JAX,NOR
First Downs,21,29
Rush-Yds-TDs,15-65-0,35-135-2
Cmp-Att-Yd-TD-INT,27-35-368-4-2,25-36-412-3-0
Sacked-Yards,2-21,1-10
Net Pass Yards,347,402
Total Yards,412,537
Fumbles-Lost,3-0,0-0
Turnovers,2,0
Penalties-Yards,8-55,5-40
Third Down Conv.,6-9,8-13
Fourth Down Conv.,0-0,1-1
Time of Possession,22:07,37:53
