Quarter,Time,Down,ToGo,Location,JAX,NOR,Detail,EPB,EPA
2,14:14,3,1,JAX 39,0,14,Jonas Gray right guard for 2 yards (tackle by Kevin Williams and Stephone Anthony),0.890,1.660
2,13:34,1,10,JAX 41,0,14,Blake Bortles pass incomplete short right intended for Allen Robinson is intercepted by Bobby Richardson at NOR-44 and returned for 13 yards,1.660,-2.720
2,13:19,1,10,JAX 43,0,14,Tim Hightower left tackle for 4 yards (tackle by Michael Bennett),2.720,2.720
2,12:46,2,6,JAX 39,0,14,Tim Hightower left guard for 7 yards (tackle by Aaron Colvin),2.720,3.450
2,12:08,1,10,JAX 32,0,14,Tim Hightower left guard for -1 yards (tackle by Aaron Colvin and Hayes Pullard),3.450,2.770
2,11:29,2,11,JAX 33,0,14,"Drew Brees pass incomplete deep left intended for Josh Hill. Penalty on Michael Bennett: Defensive Offside, 5 yards (no play)",2.770,3.440
2,11:23,2,6,JAX 28,0,14,Drew Brees pass complete short left to Tim Hightower for 27 yards (tackle by Davon House),3.440,3.440
2,10:40,2,6,JAX 28,0,14,Timeout #1 by Jacksonville Jaguars,3.440,6.970
2,10:40,1,1,JAX 1,0,20,"Tim Hightower right guard for 1 yard, touchdown",6.970,7.000
2,10:40,,,JAX 1,0,21,Kai Forbath kicks extra point good,0.000,0.000
2,10:40,,,NOR 35,0,21,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.280
2,10:37,1,10,JAX 20,0,21,Blake Bortles pass incomplete deep right intended for Allen Robinson (defended by Delvin Breaux),0.280,-0.270
2,10:30,2,10,JAX 20,0,21,Blake Bortles pass complete short right to Allen Robinson for 2 yards (tackle by Delvin Breaux),-0.270,-0.690
2,9:47,3,8,JAX 22,0,21,Blake Bortles sacked by Kenny Vaccaro for -4 yards,-0.690,-2.240
2,9:12,4,12,JAX 18,0,21,"Bryan Anger punts 48 yards, returned by Travaris Cadet for 7 yards (tackle by Jordan Tripp). Penalty on Brian Dixon: Illegal Block Above the Waist, 10 yards",-2.240,-0.610
2,9:01,1,10,NOR 25,0,21,--,0.610,0.280
2,9:01,1,15,NOR 20,0,21,Tim Hightower right end for 1 yard (tackle by Aaron Colvin),0.280,-0.480
2,8:28,2,14,NOR 21,0,21,Drew Brees sacked by Paul Posluszny for -10 yards,-0.480,-3.060
2,7:49,3,24,NOR 11,0,21,Drew Brees pass complete short middle to Brandin Cooks for 9 yards (tackle by Ryan Davis),-3.060,-2.030
2,7:13,4,15,NOR 20,0,21,"Thomas Morstead punts 52 yards, muffed catch by Rashad Greene, recovered by Rashad Greene and returned for 4 yards (tackle by Jamarca Sanford)",-2.030,-1.070
2,7:02,1,10,JAX 32,0,21,Blake Bortles pass incomplete short right intended for Allen Hurns is intercepted by Delvin Breaux at JAX-46,1.070,-2.520
2,6:56,1,10,JAX 46,0,21,Drew Brees pass complete short right to Ben Watson for 5 yards (tackle by Hayes Pullard),2.520,2.650
2,6:19,2,5,JAX 41,0,21,Drew Brees pass incomplete deep right intended for Travaris Cadet,2.650,1.950
2,6:14,3,5,JAX 41,0,21,Brandin Cooks for 5 yards,1.950,1.950
2,5:35,3,5,JAX 41,0,21,Timeout #1 by New Orleans Saints,1.950,3.180
2,5:35,1,10,JAX 36,0,21,Tim Hightower left tackle for 11 yards (tackle by Roy Miller),3.180,3.910
2,4:53,1,10,JAX 25,0,21,Travaris Cadet left end for 6 yards (tackle by Aaron Colvin and Roy Miller),3.910,4.200
2,4:12,2,4,JAX 19,0,21,Drew Brees pass incomplete deep middle intended for Josh Hill,4.200,3.490
2,4:06,3,4,JAX 19,0,21,Drew Brees pass incomplete deep right intended for Brandin Cooks (defended by Davon House),3.490,2.260
2,4:01,4,4,JAX 19,0,24,Kai Forbath 37 yard field goal good,2.260,3.000
2,4:01,,,NOR 35,0,24,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.280
2,3:56,1,10,JAX 20,0,24,Jonas Gray left guard for 23 yards (tackle by Jairus Byrd),0.280,1.800
2,3:23,1,10,JAX 43,0,24,Marqise Lee right end for 9 yards (tackle by Delvin Breaux),1.800,2.470
2,2:50,2,1,NOR 48,0,24,Blake Bortles pass incomplete deep right intended for Allen Robinson,2.470,1.750
2,2:43,3,1,NOR 48,0,24,"Blake Bortles for no gain. Blake Bortles fumbles, recovered by Stefen Wisniewski at NOR-48 and returned for 1 yards",1.750,2.460
2,2:12,1,10,NOR 47,0,24,Blake Bortles pass complete short left to Allen Hurns for 13 yards (tackle by Brandon Browner),2.460,3.310
2,2:00,1,10,NOR 34,0,24,Blake Bortles pass complete deep right to Allen Hurns for 24 yards (tackle by Kyle Wilson),3.310,3.310
2,1:37,1,10,NOR 34,0,24,Timeout #2 by New Orleans Saints,3.310,4.910
2,1:37,1,10,NOR 10,0,24,Blake Bortles pass complete short left to Denard Robinson for 8 yards (tackle by John Jenkins),4.910,4.910
2,1:26,1,10,NOR 10,0,24,Timeout #3 by New Orleans Saints,4.910,5.720
2,1:26,2,2,NOR 2,6,24,"Blake Bortles pass complete short right to Marqise Lee for 2 yards, touchdown",5.720,7.000
2,1:26,2,,NOR 2,6,24,"Two Point Attempt: Blake Bortles pass incomplete intended for Rashad Greene, conversion fails",5.720,-1.000
2,1:26,,,JAX 35,6,24,"Jason Myers kicks off 65 yards, touchback",0.000,-0.280
2,1:23,1,10,NOR 20,6,24,Drew Brees pass complete short right to Willie Snead for 11 yards (tackle by Paul Posluszny and Aaron Colvin),0.280,1.000
2,0:59,1,10,NOR 31,6,24,Drew Brees pass incomplete short right intended for Willie Snead,1.000,0.460
2,0:55,2,10,NOR 31,6,24,Drew Brees pass complete short right to Travaris Cadet for 13 yards (tackle by Paul Posluszny and Josh Evans),0.460,1.860
2,0:30,1,10,NOR 44,6,24,Drew Brees pass complete deep right to Willie Snead for 17 yards (tackle by Aaron Colvin),1.860,2.980
2,0:15,1,10,JAX 39,6,24,Drew Brees spiked the ball,2.980,2.440
2,0:15,2,10,JAX 39,6,24,"Drew Brees pass incomplete deep left intended for Brandin Cooks. Penalty on Ryan Davis: Defensive Holding, 5 yards (no play)",2.440,3.310
2,0:09,1,10,JAX 34,6,24,Kai Forbath 52 yard field goal no good,3.310,-1.730
2,0:04,1,10,JAX 42,6,24,Blake Bortles sacked by Kenny Vaccaro for -17 yards,1.730,-1.110
Quarter,Time,Down,ToGo,Location,JAX,NOR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NOR 35,6,24,"Kai Forbath kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,JAX 20,6,24,Denard Robinson right tackle for 2 yards (tackle by John Jenkins),0.280,0.000
3,14:30,2,8,JAX 22,6,24,"Denard Robinson left guard for 1 yard (tackle by Cameron Jordan). Penalty on Zane Beadles: Offensive Holding, 10 yards (no play)",0.000,-1.360
3,14:03,2,18,JAX 12,6,24,Blake Bortles pass complete deep left to Allen Robinson for 37 yards (tackle by Kyle Wilson),-1.360,2.190
3,13:17,1,10,JAX 49,6,24,Blake Bortles pass complete short left to Denard Robinson for 13 yards (tackle by Brandon Browner),2.190,3.050
3,12:30,1,10,NOR 38,6,24,Blake Bortles pass incomplete short left intended for Allen Hurns,3.050,2.510
3,12:26,2,10,NOR 38,6,24,Blake Bortles pass complete short right to Marqise Lee for 6 yards (tackle by Kyle Wilson),2.510,2.610
3,11:51,3,4,NOR 32,6,24,Blake Bortles pass complete short left to Julius Thomas for 8 yards (tackle by Stephone Anthony),2.610,3.970
3,11:05,1,10,NOR 24,6,24,Blake Bortles pass complete short middle to Allen Robinson for 7 yards (tackle by David Hawthorne),3.970,4.460
3,10:24,2,3,NOR 17,6,24,Denard Robinson left end for 7 yards (tackle by John Jenkins and Jairus Byrd),4.460,4.910
3,9:44,1,10,NOR 10,6,24,Blake Bortles pass incomplete short right intended for Denard Robinson,4.910,4.190
3,9:35,2,10,NOR 10,6,24,Denard Robinson left tackle for 4 yards (tackle by Stephone Anthony and John Jenkins),4.190,4.190
3,8:54,2,10,NOR 10,6,24,Timeout #1 by Jacksonville Jaguars,4.190,4.040
3,8:54,3,6,NOR 6,12,24,"Blake Bortles pass complete short middle to Allen Hurns for 6 yards, touchdown",4.040,7.000
3,8:54,,,NOR 6,13,24,Jason Myers kicks extra point good,0.000,0.000
3,8:54,,,JAX 35,13,24,"Jason Myers kicks off 65 yards, touchback",0.000,-0.280
3,8:51,1,10,NOR 20,13,24,Drew Brees pass incomplete short middle intended for Ben Watson (defended by Paul Posluszny),0.280,-0.270
3,8:47,2,10,NOR 20,13,24,Drew Brees pass complete short right to Josh Hill for 6 yards (tackle by Dan Skuta and Paul Posluszny),-0.270,-0.160
3,8:10,3,4,NOR 26,13,24,Drew Brees pass complete short right to Brandon Coleman for 7 yards (tackle by Nick Marshall),-0.160,1.140
3,7:33,1,10,NOR 33,13,24,Tim Hightower left tackle for 6 yards (tackle by Dan Skuta),1.140,1.400
3,7:02,2,4,NOR 39,13,24,Tim Hightower left tackle for 10 yards (tackle by Jonathan Cyprien),1.400,2.190
3,6:16,1,10,NOR 49,13,24,Drew Brees pass complete short left to Brandon Coleman for 7 yards (tackle by Nick Marshall),2.190,2.590
3,5:38,2,3,JAX 44,13,30,"Drew Brees pass complete deep left to Travaris Cadet for 44 yards, touchdown",2.590,7.000
3,5:38,,,JAX 44,13,31,Kai Forbath kicks extra point good,0.000,0.000
3,5:38,,,NOR 35,13,31,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.280
3,5:29,1,10,JAX 20,13,31,"Jonas Gray right tackle for 25 yards (tackle by Kenny Vaccaro). Penalty on Zane Beadles: Offensive Holding, 10 yards (no play)",0.280,-0.760
3,5:00,1,20,JAX 10,19,31,"Blake Bortles pass complete deep left to Allen Robinson for 90 yards, touchdown",-0.760,7.000
3,5:00,1,,JAX 10,19,31,"Two Point Attempt: Blake Bortles pass incomplete intended for Julius Thomas, conversion fails",-0.760,-1.000
3,5:00,,,JAX 35,19,31,"Jason Myers kicks off 72 yards, returned by Travaris Cadet for 19 yards (tackle by Joplo Bartu)",0.000,0.350
3,4:44,1,10,NOR 12,19,31,Drew Brees pass complete short left to Josh Hill for 6 yards (tackle by Paul Posluszny),-0.350,-0.070
3,4:11,2,4,NOR 18,19,31,Drew Brees pass incomplete deep middle intended for Brandin Cooks,-0.070,-0.720
3,4:04,3,4,NOR 18,19,31,Drew Brees pass complete short middle to Austin Johnson for 7 yards (tackle by Hayes Pullard),-0.720,0.610
3,3:23,1,10,NOR 25,19,31,Tim Hightower left end for 2 yards (tackle by Dan Skuta),0.610,0.330
3,2:37,2,8,NOR 27,19,31,Drew Brees pass complete short right to Willie Snead for 11 yards (tackle by Paul Posluszny),0.330,1.470
3,2:02,1,10,NOR 38,19,31,Tim Hightower right guard for 26 yards (tackle by Jonathan Cyprien),1.470,3.180
3,1:20,1,10,JAX 36,19,31,Tim Hightower right tackle for 1 yard (tackle by Demetrius McCray and Jonathan Cyprien),3.180,2.770
3,0:38,2,9,JAX 35,19,31,,2.770,2.080
Quarter,Time,Down,ToGo,Location,JAX,NOR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,9,JAX 35,19,31,Drew Brees pass complete short right to Brandon Coleman for 10 yards (tackle by Demetrius McCray),2.080,3.910
4,14:35,1,10,JAX 25,19,31,Tim Hightower left guard for 4 yards (tackle by Hayes Pullard and Andre Branch),3.910,3.900
4,13:55,2,6,JAX 21,19,31,Drew Brees pass complete deep right to Brandin Cooks for 16 yards (tackle by Jonathan Cyprien),3.900,6.060
4,13:09,1,5,JAX 5,19,31,Drew Brees pass incomplete short left intended for Austin Johnson,6.060,5.150
4,13:04,2,5,JAX 5,19,37,"Tim Hightower right guard for 5 yards, touchdown",5.150,7.000
4,13:04,,,JAX 5,19,38,Kai Forbath kicks extra point good,0.000,0.000
4,13:04,,,NOR 35,19,38,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.280
4,12:59,1,10,JAX 20,19,38,Jonas Gray left guard for 2 yards (tackle by Kasim Edebali),0.280,0.000
4,12:24,2,8,JAX 22,19,38,Blake Bortles pass complete short middle to Marcedes Lewis for 13 yards (tackle by Hau'oli Kikaha),0.000,1.270
4,11:49,1,10,JAX 35,19,38,Jonas Gray right guard for 3 yards (tackle by David Hawthorne),1.270,1.130
4,11:13,2,7,JAX 38,19,38,Jonas Gray right tackle for 1 yard (tackle by Ramon Humber),1.130,0.560
4,10:32,3,6,JAX 39,19,38,"Blake Bortles for no gain. Blake Bortles fumbles, recovered by Blake Bortles at JAX-34",0.560,-1.110
4,9:55,4,11,JAX 34,19,38,"Bryan Anger punts 49 yards, fair catch by Jairus Byrd",-1.110,0.060
4,9:48,1,10,NOR 17,19,38,Tim Hightower left tackle for 9 yards (tackle by Hayes Pullard),-0.060,0.750
4,9:07,2,1,NOR 26,19,38,Tim Hightower left guard for no gain (tackle by Paul Posluszny),0.750,-0.120
4,8:27,3,1,NOR 26,19,38,Tim Hightower left tackle for 16 yards (tackle by Andre Branch and Davon House),-0.120,1.730
4,7:38,1,10,NOR 42,19,38,"Penalty on Drew Brees: Delay of Game, 5 yards (no play)",1.730,1.400
4,7:31,1,15,NOR 37,19,38,Tim Hightower right guard for no gain (tackle by Roy Miller),1.400,0.510
4,6:53,2,15,NOR 37,19,38,Tim Hightower left end for 4 yards (tackle by Tyson Alualu),0.510,0.370
4,6:12,3,11,NOR 41,19,38,Drew Brees pass complete deep right to Willie Snead for 36 yards (tackle by Demetrius McCray),0.370,0.370
4,5:25,3,11,NOR 41,19,38,Timeout #1 by New Orleans Saints,0.370,4.040
4,5:25,1,10,JAX 23,19,38,Drew Brees pass complete short right to Tim Hightower for 11 yards (tackle by Jonathan Cyprien),4.040,4.780
4,4:56,1,10,JAX 12,19,38,Tim Hightower right tackle for 3 yards (tackle by Jonathan Cyprien),4.780,4.640
4,4:21,2,7,JAX 9,19,38,Tim Hightower left guard for 5 yards (tackle by Dan Skuta),4.640,4.840
4,3:38,3,2,JAX 4,19,38,Tim Hightower right tackle for -6 yards (tackle by Tyson Alualu),4.840,4.840
4,2:53,3,2,JAX 4,19,38,Timeout #2 by New Orleans Saints,4.840,2.760
4,2:53,4,8,JAX 10,19,38,"Kai Forbath 28 yard field goal no good, blocked by Tyson Alualu",2.760,-0.280
4,2:47,1,10,JAX 20,19,38,Blake Bortles pass complete short middle to Denard Robinson for 5 yards (tackle by Ramon Humber),0.280,0.410
4,2:26,2,5,JAX 25,19,38,Blake Bortles pass complete short middle to Allen Hurns for 7 yards (tackle by Stephone Anthony),0.410,1.070
4,2:12,1,10,JAX 32,19,38,Blake Bortles pass incomplete deep right intended for Marqise Lee (defended by Delvin Breaux),1.070,0.530
4,2:06,2,10,JAX 32,19,38,Blake Bortles pass complete short left to Clay Harbor for 7 yards (tackle by Brandon Browner),0.530,0.760
4,2:00,3,3,JAX 39,19,38,Blake Bortles pass complete short left to Allen Robinson for 5 yards (tackle by Brandon Browner),0.760,1.860
4,1:57,1,10,JAX 44,19,38,Blake Bortles pass complete short middle to Allen Hurns for 18 yards (tackle by Ramon Humber),1.860,3.050
4,1:39,1,10,NOR 38,19,38,Blake Bortles pass complete short left to Denard Robinson for 8 yards (tackle by Ramon Humber and Cameron Jordan),3.050,3.590
4,1:19,2,2,NOR 30,19,38,Blake Bortles pass complete short left to Allen Robinson for 10 yards (tackle by Brandon Browner),3.590,4.240
4,1:19,1,10,NOR 20,25,38,"Blake Bortles pass complete deep middle to Allen Hurns for 20 yards, touchdown",4.240,7.000
4,1:19,1,,NOR 20,27,38,"Two Point Attempt: Blake Bortles pass complete to Clay Harbor, conversion succeeds",4.240,1.000
4,1:19,,,JAX 35,27,38,Jason Myers kicks onside 9 yards,0.000,-2.650
4,1:12,1,10,JAX 44,27,38,Drew Brees kneels for -1 yards,2.650,2.650
4,1:10,1,10,JAX 44,27,38,Timeout #2 by Jacksonville Jaguars,2.650,1.980
4,1:10,2,11,JAX 45,27,38,Drew Brees kneels for no gain,1.980,1.980
4,1:09,2,11,JAX 45,27,38,Timeout #3 by Jacksonville Jaguars,1.980,1.290
4,1:09,3,11,JAX 45,27,38,Drew Brees kneels for -2 yards,1.290,1.290
4,0:28,3,11,JAX 45,27,38,Timeout #3 by New Orleans Saints,1.290,0.130
4,0:28,4,13,JAX 47,27,38,"Thomas Morstead punts 47 yards, touchback",0.130,-0.280
4,0:20,1,10,JAX 20,27,38,Blake Bortles pass complete short middle to Allen Hurns for 12 yards (tackle by Stephone Anthony),0.280,1.070
4,0:04,1,10,JAX 32,27,38,Blake Bortles pass complete short middle to Denard Robinson for 16 yards (tackle by Ramon Humber),1.070,2.130
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
