Quarter,Time,Tm,Detail,JAX,NOR
1.0,10:33,Saints,Michael Hoomanawanui 17 yard pass from Drew Brees (Kai Forbath kick),0,7
,0:27,Saints,Brandin Cooks 71 yard pass from Drew Brees (Kai Forbath kick),0,14
2.0,10:37,Saints,Tim Hightower 1 yard rush (Kai Forbath kick),0,21
,3:56,Saints,Kai Forbath 37 yard field goal,0,24
,1:23,Jaguars,Marqise Lee 2 yard pass from Blake Bortles (pass failed),6,24
3.0,8:51,Jaguars,Allen Hurns 6 yard pass from Blake Bortles (Jason Myers kick),13,24
,5:29,Saints,Travaris Cadet 44 yard pass from Drew Brees (Kai Forbath kick),13,31
,4:49,Jaguars,Allen Robinson 90 yard pass from Blake Bortles,19,31
4.0,12:59,Saints,Tim Hightower 5 yard rush (Kai Forbath kick),19,38
,1:13,Jaguars,Allen Hurns 20 yard pass from Blake Bortles (Clay Harbor pass from Blake Bortles),27,38
