Unnamed: 0,CIN,KAN
First Downs,22,16
Rush-Yds-TDs,38-189-2,26-113-0
Cmp-Att-Yd-TD-INT,18-29-230-2-0,17-30-188-0-0
Sacked-Yards,2-10,4-17
Net Pass Yards,220,171
Total Yards,409,284
Fumbles-Lost,1-0,3-1
Turnovers,0,1
Penalties-Yards,8-54,6-30
Third Down Conv.,4-14,1-11
Fourth Down Conv.,3-3,0-1
Time of Possession,35:22,24:38
