Quarter,Time,Down,ToGo,Location,CIN,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Mike Nugent kicks off 64 yards, returned by Shaun Draughn for 23 yards (tackle by Emmanuel Lamur)",0.000,0.540
1,14:54,1,10,KAN 24,0,0,Jamaal Charles left end for 2 yards (tackle by Geno Atkins),0.540,0.270
1,14:21,2,8,KAN 26,0,0,Jamaal Charles left end for 5 yards (tackle by Pacman Jones),0.270,0.230
1,13:51,3,3,KAN 31,0,0,Matt Cassel pass incomplete short left intended for Steve Breaston (defended by Geno Atkins),0.230,-1.310
1,13:43,4,3,KAN 31,0,0,"Dustin Colquitt punts 62 yards, returned by Pacman Jones for 11 yards (tackle by Cory Greenwood). Penalty on CIN: Illegal Block Above the Waist, 9 yards",-1.310,0.380
1,13:31,1,10,CIN 9,0,0,Andy Dalton pass complete short left to Mohamed Sanu for 8 yards (tackle by Javier Arenas),-0.380,-0.020
1,12:55,2,2,CIN 17,0,0,BenJarvus Green-Ellis right end for 11 yards (tackle by Eric Berry),-0.020,0.810
1,12:29,1,10,CIN 28,0,0,BenJarvus Green-Ellis right end for 2 yards (tackle by Jovan Belcher),0.810,0.530
1,11:51,2,8,CIN 30,0,0,Andy Dalton pass incomplete short left intended for Mohamed Sanu (defended by Dontari Poe),0.530,-0.160
1,11:47,3,8,CIN 30,0,0,Andy Dalton pass incomplete short left intended for Jermaine Gresham,-0.160,-1.370
1,11:42,4,8,CIN 30,0,0,"Kevin Huber punts 57 yards, returned by Javier Arenas for 12 yards (tackle by Manny Lawson)",-1.370,-0.610
1,11:30,1,10,KAN 25,0,0,Matt Cassel pass complete short middle to Tony Moeaki for 22 yards (tackle by Chris Crocker),0.610,2.060
1,11:00,1,10,KAN 47,0,0,Jamaal Charles left end for 17 yards (tackle by Nate Clements),2.060,3.180
1,10:40,1,10,CIN 36,0,0,Jamaal Charles up the middle for 2 yards (tackle by Wallace Gilberry),3.180,2.910
1,9:54,2,8,CIN 34,0,0,Jamaal Charles up the middle for 10 yards (tackle by Nate Clements),2.910,3.970
1,9:20,1,10,CIN 24,0,0,Jamaal Charles right tackle for 5 yards (tackle by Carlos Dunlap),3.970,4.120
1,8:46,2,5,CIN 19,0,0,Matt Cassel pass incomplete short right intended for Dwayne Bowe,4.120,0.000
1,8:40,,,,0,0,Timeout #1 by Kansas City Chiefs,0.000,3.410
1,8:40,3,5,CIN 19,0,0,Matt Cassel pass complete short left to Dexter McCluster for 3 yards (tackle by Leon Hall),3.410,2.500
1,8:35,4,2,CIN 16,0,3,Ryan Succop 34 yard field goal good,2.500,3.000
1,8:31,,,KAN 35,0,3,"Ryan Succop kicks off 69 yards, returned by Brandon Tate for 26 yards (tackle by Brandon Siler)",0.000,0.410
1,8:26,1,10,CIN 22,0,3,BenJarvus Green-Ellis left end for no gain (tackle by Ropati Pitoitua),0.410,-0.130
1,7:43,2,10,CIN 22,0,3,Andy Dalton pass complete short middle to BenJarvus Green-Ellis for 7 yards (tackle by Derrick O. Johnson),-0.130,0.100
1,6:57,3,3,CIN 29,0,3,Andy Dalton pass incomplete deep right intended for A.J. Green,0.100,-1.440
1,6:51,4,3,CIN 29,0,3,Cedric Peerman left end for 32 yards (tackle by Abram Elam),-1.440,2.980
1,6:51,1,10,KAN 39,0,3,"Penalty on Jermaine Gresham: False Start, 5 yards (no play)",2.980,2.650
1,5:48,1,15,KAN 44,0,3,Andy Dalton pass complete short left to A.J. Green for -3 yards (tackle by Tamba Hali),2.650,1.360
1,5:10,2,18,KAN 47,0,3,Andy Dalton pass incomplete deep right intended for A.J. Green,1.360,0.700
1,5:05,3,18,KAN 47,0,3,Andy Dalton pass complete short left to Brian Leonard for 11 yards (tackle by Eric Berry),0.700,0.880
1,4:43,4,7,KAN 36,0,3,Andy Dalton for 11 yards (tackle by Abram Elam),0.880,3.910
1,4:15,1,10,KAN 25,0,3,BenJarvus Green-Ellis up the middle for 3 yards (tackle by Derrick O. Johnson),3.910,3.770
1,3:40,2,7,KAN 22,0,3,Andy Dalton pass complete short middle to Jermaine Gresham for 18 yards (tackle by Justin Houston),3.770,6.280
1,2:56,1,4,KAN 4,6,3,"Andy Dalton pass complete short left to A.J. Green for 4 yards, touchdown",6.280,7.000
1,2:56,,,KAN 2,7,3,Mike Nugent kicks extra point good,0.000,0.000
1,2:51,,,CIN 35,7,3,"Mike Nugent kicks off 65 yards, touchback",0.000,0.280
1,2:51,1,10,KAN 20,7,3,Jamaal Charles left end for 4 yards (tackle by Rey Maualuga),0.280,0.270
1,2:23,2,6,KAN 24,7,3,"Matt Cassel sacked by Geno Atkins for -4 yards. Matt Cassel fumbles (forced by Geno Atkins), recovered by Eric Winston at KAN-23",0.270,-0.560
1,1:55,3,7,KAN 23,7,3,"Matt Cassel sacked by Carlos Dunlap for 0 yards. Penalty on Terence Newman: Defensive Holding, 5 yards (no play)",-0.560,0.810
1,1:31,1,10,KAN 28,7,3,Peyton Hillis up the middle for 6 yards (tackle by Manny Lawson),0.810,1.070
1,0:56,2,4,KAN 34,7,3,"Peyton Hillis left end for no gain (tackle by Geno Atkins). Peyton Hillis fumbles (forced by Geno Atkins), recovered by Vontaze Burfict at KAN-34",1.070,-3.310
1,0:46,1,10,KAN 34,7,3,BenJarvus Green-Ellis up the middle for 5 yards (tackle by Shaun Smith),3.310,3.450
1,0:15,2,5,KAN 29,7,3,BenJarvus Green-Ellis up the middle for 3 yards (tackle by Dontari Poe),3.450,3.140
Quarter,Time,Down,ToGo,Location,CIN,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,KAN 26,7,3,Andy Dalton sacked by Tamba Hali for -6 yards,3.140,1.240
2,14:26,4,8,KAN 32,7,3,Mike Nugent 50 yard field goal no good,1.240,-1.600
2,14:21,1,10,KAN 40,7,3,Jamaal Charles up the middle for no gain (tackle by Taylor Mays),1.600,1.050
2,13:43,2,10,KAN 40,7,3,Matt Cassel up the middle for no gain (tackle by Carlos Dunlap),1.050,0.370
2,13:05,3,10,KAN 40,7,3,Matt Cassel pass incomplete short left intended for Shaun Draughn,0.370,-0.720
2,13:00,4,10,KAN 40,7,3,"Dustin Colquitt punts 44 yards, returned by Brandon Tate for no gain",-0.720,0.140
2,12:52,1,10,CIN 16,7,3,Cedric Peerman right end for 2 yards (tackle by Eric Berry),-0.140,-0.350
2,12:15,2,8,CIN 18,7,3,Cedric Peerman right end for 4 yards (tackle by Jovan Belcher and Tyson Jackson),-0.350,-0.570
2,11:33,3,4,CIN 22,7,3,Andy Dalton pass incomplete short left intended for Jermaine Gresham,-0.570,-1.900
2,11:28,4,4,CIN 22,7,3,"Kevin Huber punts 51 yards, fair catch by Javier Arenas",-1.900,-0.740
2,11:21,1,10,KAN 27,7,3,Matt Cassel pass incomplete deep left intended for Tony Moeaki,0.740,0.200
2,11:15,2,10,KAN 27,7,3,Jamaal Charles left end for no gain (tackle by Rey Maualuga),0.200,-0.490
2,10:46,3,10,KAN 27,7,3,Matt Cassel pass complete short left to Shaun Draughn for -3 yards (tackle by Pacman Jones),-0.490,-1.770
2,10:12,4,13,KAN 24,7,3,"Dustin Colquitt punts 38 yards, out of bounds. Penalty on Neiko Thorpe: Player Out of Bounds on Punt, 5 yards",-1.770,-1.800
2,10:05,1,10,CIN 43,7,3,"Andy Dalton pass complete deep right to A.J. Green for 40 yards (tackle by Abram Elam). Penalty on Abram Elam: Unnecessary Roughness, 9 yards",1.800,5.370
2,9:30,1,8,KAN 8,7,3,BenJarvus Green-Ellis up the middle for 1 yard (tackle by Derrick O. Johnson),5.370,4.760
2,8:51,2,7,KAN 7,7,3,Andy Dalton sacked by Tyson Jackson for -4 yards,4.760,3.120
2,8:15,3,11,KAN 11,7,3,Andy Dalton pass complete short middle to Jermaine Gresham for 10 yards (tackle by Eric Berry),3.120,3.550
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned.",,
2,7:54,4,1,KAN 1,13,3,"Andy Dalton left end for 1 yard, touchdown",3.550,7.000
2,7:54,,,KAN 2,14,3,Mike Nugent kicks extra point good,0.000,0.000
2,7:52,,,CIN 35,14,3,"Mike Nugent kicks off 70 yards, returned by Shaun Draughn for 29 yards (tackle by Vincent Rey)",0.000,0.540
2,7:45,1,10,KAN 24,14,3,Matt Cassel pass complete short middle to Jamaal Charles for 16 yards (tackle by Pacman Jones),0.540,1.600
2,7:13,1,10,KAN 40,14,3,Matt Cassel pass incomplete deep right intended for Dwayne Bowe,1.600,1.050
2,7:06,2,10,KAN 40,14,3,Matt Cassel pass incomplete short left intended for Steve Breaston,1.050,0.370
2,7:01,3,10,KAN 40,14,3,Matt Cassel pass complete short right to Jamaal Charles for no gain,0.370,-0.720
2,6:28,4,10,KAN 40,14,3,"Dustin Colquitt punts 44 yards, fair catch by Brandon Tate. Penalty on Dexter McCluster: Player Out of Bounds on Punt, 5 yards",-0.720,-0.340
2,6:18,1,10,CIN 21,14,3,BenJarvus Green-Ellis up the middle for 7 yards (tackle by Tamba Hali),0.340,0.750
2,5:47,2,3,CIN 28,14,3,"BenJarvus Green-Ellis right tackle for 3 yards (tackle by Shaun Smith). Penalty on Orson Charles: Offensive Holding, 10 yards (no play)",0.750,-0.700
2,5:18,2,13,CIN 18,14,3,Andy Dalton pass complete short right to Ryan Whalen for 6 yards (tackle by Brandon Flowers),-0.700,-0.490
2,4:30,3,7,CIN 24,14,3,Andy Dalton pass complete short left to Jermaine Gresham for 11 yards (tackle by Javier Arenas),-0.490,1.270
2,3:53,1,10,CIN 35,14,3,BenJarvus Green-Ellis up the middle for 4 yards (tackle by Eric Berry),1.270,1.260
2,3:16,2,6,CIN 39,14,3,BenJarvus Green-Ellis up the middle for 21 yards (tackle by Jalil Brown),1.260,2.920
2,2:49,1,10,KAN 40,14,3,Andy Dalton pass incomplete deep right intended for A.J. Green,2.920,0.000
2,2:44,,,,14,3,Timeout #1 by Cincinnati Bengals,0.000,2.370
2,2:44,2,10,KAN 40,14,3,Cedric Peerman up the middle for 17 yards (tackle by Eric Berry),2.370,4.040
2,2:15,1,10,KAN 23,14,3,Cedric Peerman up the middle for no gain (tackle by Derrick O. Johnson),4.040,3.500
2,2:00,2,10,KAN 23,14,3,"Penalty on Andrew Whitworth: False Start, 5 yards (no play)",3.500,2.820
2,2:00,2,15,KAN 28,14,3,"Andy Dalton pass complete short middle to Jermaine Gresham for 17 yards (tackle by Derrick O. Johnson). Jermaine Gresham fumbles (forced by Derrick O. Johnson), recovered by Jermaine Gresham at KAN-11",2.820,4.840
2,1:37,1,10,KAN 11,14,3,BenJarvus Green-Ellis up the middle for 4 yards (tackle by Anthony Toribio),4.840,4.890
2,1:02,2,6,KAN 7,14,3,"Andy Dalton pass incomplete short left intended for Brandon Tate. Penalty on Jalil Brown: Defensive Pass Interference, 6 yards (no play)",4.890,6.970
2,0:57,1,1,KAN 1,20,3,"BenJarvus Green-Ellis up the middle for 1 yard, touchdown",6.970,7.000
2,0:57,,,KAN 2,21,3,Mike Nugent kicks extra point good,0.000,0.000
2,0:53,,,CIN 35,21,3,"Mike Nugent kicks off 65 yards, touchback",0.000,0.280
