Quarter,Time,Tm,Detail,CIN,KAN
1.0,8:31,Chiefs,Ryan Succop 34 yard field goal,0,3
,2:51,Bengals,A.J. Green 4 yard pass from Andy Dalton (Mike Nugent kick),7,3
2.0,7:52,Bengals,Andy Dalton 1 yard rush (Mike Nugent kick),14,3
,0:53,Bengals,BenJarvus Green-Ellis 1 yard rush (Mike Nugent kick),21,3
,0:00,Chiefs,Ryan Succop 33 yard field goal,21,6
4.0,9:39,Bengals,Mohamed Sanu 14 yard pass from Andy Dalton (Mike Nugent kick),28,6
