Quarter,Time,Down,ToGo,Location,LAC,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss, Broncos to receive the opening kickoff.",,
1,15:00,,,LAC 35,0,0,"YoungHoe Koo kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,DEN 25,0,0,C.J. Anderson right guard for 1 yard (tackle by Joey Bosa),0.610,0.200
1,14:28,2,9,DEN 26,0,0,Trevor Siemian pass complete short middle to Demaryius Thomas for 6 yards (tackle by Jatavis Brown and Hayes Pullard),0.200,0.300
1,13:54,3,3,DEN 32,0,0,Trevor Siemian pass complete short left to Emmanuel Sanders for 4 yards,0.300,1.330
1,13:21,1,10,DEN 36,0,0,C.J. Anderson middle for 2 yards (tackle by Melvin Ingram),1.330,1.060
1,12:48,2,8,DEN 38,0,0,Trevor Siemian pass incomplete short left intended for Jeff Heuerman,1.060,0.370
1,12:43,3,8,DEN 38,0,0,Trevor Siemian pass incomplete deep right intended for Demaryius Thomas,0.370,-0.850
1,12:38,4,8,DEN 38,0,0,"Riley Dixon punts 51 yards, fair catch by Travis Benjamin",-0.850,0.370
1,12:30,1,10,LAC 11,0,0,"Penalty on Matt Slauson: False Start, 5 yards (no play)",-0.370,-0.570
1,12:30,1,15,LAC 6,0,0,Melvin Gordon left guard for 21 yards (tackle by Justin Simmons),-0.570,0.740
1,11:50,1,10,LAC 27,0,0,Melvin Gordon left tackle for 5 yards (tackle by Domata Peko and Justin Simmons),0.740,0.870
1,11:10,2,5,LAC 32,0,0,Philip Rivers pass incomplete short left intended for Tyrell Williams,0.870,0.000
1,11:06,,,,,,Timeout #1 by Los Angeles Chargers,0.000,-0.170
1,11:06,3,5,LAC 32,0,0,Philip Rivers pass incomplete short middle intended for Keenan Allen,0.170,-1.240
1,11:02,4,5,LAC 32,0,0,"Drew Kaser punts 43 yards, out of bounds. Penalty on Trevor Williams: Player Out of Bounds on Punt, 5 yards",-1.240,-0.940
1,10:55,1,10,DEN 30,0,0,Trevor Siemian pass incomplete short left intended for C.J. Anderson (defended by Casey Hayward),0.940,0.390
1,10:50,2,10,DEN 30,0,0,C.J. Anderson left guard for 6 yards (tackle by Jatavis Brown),0.390,0.500
1,10:13,3,4,DEN 36,0,0,Trevor Siemian pass complete short left to Demaryius Thomas for 6 yards (tackle by Casey Hayward),0.500,1.730
1,9:39,1,10,DEN 42,0,0,C.J. Anderson middle for 2 yards (tackle by Korey Toomer),1.730,1.460
1,9:05,2,8,DEN 44,0,0,C.J. Anderson middle for 11 yards (tackle by Hayes Pullard),1.460,2.590
1,8:26,1,10,LAC 45,0,0,Trevor Siemian pass incomplete short left intended for Jamaal Charles,2.590,2.040
1,8:20,2,10,LAC 45,0,0,Trevor Siemian pass complete short middle to Jeff Heuerman for 20 yards (tackle by Kyle Emanuel),2.040,3.910
1,7:43,1,10,LAC 25,0,0,Trevor Siemian pass incomplete deep left intended for Emmanuel Sanders,3.910,3.360
1,7:37,2,10,LAC 25,0,0,C.J. Anderson left guard for 3 yards (tackle by Damion Square and Darius Philon),3.360,3.070
1,6:57,3,7,LAC 22,0,0,Trevor Siemian pass complete short right to Bennie Fowler for 10 yards (tackle by Melvin Ingram),3.070,4.780
1,6:18,1,10,LAC 12,0,0,C.J. Anderson right tackle for 7 yards (tackle by Jatavis Brown),4.780,5.410
1,5:41,2,3,LAC 5,0,0,C.J. Anderson middle for no gain (tackle by Brandon Mebane),5.410,4.610
1,4:58,3,3,LAC 5,0,6,"Trevor Siemian pass complete short right to Bennie Fowler for 5 yards, touchdown. Penalty on Joey Bosa: Defensive Offside (Declined)",4.610,7.000
1,4:50,,,LAC 15,0,7,Brandon McManus kicks extra point good,0.000,0.000
1,4:50,,,DEN 35,0,7,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.610
1,4:50,1,10,LAC 25,0,7,Melvin Gordon left guard for 2 yards (tackle by Brandon Marshall and Todd Davis),0.610,0.330
1,4:03,2,8,LAC 27,0,7,Melvin Gordon middle for 1 yard (tackle by Derek Wolfe and Brandon Marshall),0.330,-0.230
1,3:20,3,7,LAC 28,0,7,Philip Rivers pass complete short left to Keenan Allen for 9 yards (tackle by Justin Simmons),-0.230,1.400
1,2:41,1,10,LAC 37,0,7,Melvin Gordon left tackle for 2 yards (tackle by Todd Davis and Shelby Harris),1.400,1.130
1,2:01,2,8,LAC 39,0,7,Philip Rivers pass incomplete short left intended for Keenan Allen (defended by Chris Harris),1.130,0.430
,,,,,,,"LAC challenged the incomplete pass ruling, and the play was upheld.",,
1,1:51,3,8,LAC 39,0,7,"Philip Rivers pass incomplete deep middle intended for Keenan Allen (defended by Bradley Roby). Penalty on Bradley Roby: Defensive Pass Interference, 40 yards (no play)",0.430,4.170
1,1:44,1,10,DEN 21,0,7,Melvin Gordon right guard for no gain (tackle by Justin Simmons and Derek Wolfe),4.170,3.630
1,1:07,2,10,DEN 21,0,7,Melvin Gordon left tackle for 10 yards (tackle by Justin Simmons),3.630,4.840
1,0:24,1,10,DEN 11,0,7,Melvin Gordon middle for no gain (tackle by Adam Gotsis),4.840,4.140
Quarter,Time,Down,ToGo,Location,LAC,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,DEN 11,6,7,"Philip Rivers pass complete short middle to Melvin Gordon for 11 yards, touchdown",4.140,7.000
2,14:55,,,DEN 15,7,7,YoungHoe Koo kicks extra point good,0.000,0.000
2,14:55,,,LAC 35,7,7,"YoungHoe Koo kicks off 65 yards, touchback",0.000,-0.610
2,14:55,1,10,DEN 25,7,7,C.J. Anderson middle for 2 yards (tackle by Jatavis Brown and Hayes Pullard),0.610,0.330
2,14:16,2,8,DEN 27,7,7,Trevor Siemian pass complete short left to Emmanuel Sanders for 2 yards (tackle by Trevor Williams and Jahleel Addae),0.330,-0.100
2,13:33,3,6,DEN 29,7,7,Trevor Siemian pass incomplete short middle intended for Demaryius Thomas (defended by Tre Boston),-0.100,-1.440
2,13:28,4,6,DEN 29,7,7,"Riley Dixon punts 53 yards, returned by Travis Benjamin for -3 yards (tackle by Cody Latimer)",-1.440,0.220
2,13:19,1,10,LAC 15,7,7,Branden Oliver middle for 6 yards (tackle by Bradley Roby),-0.220,0.210
2,12:48,2,4,LAC 21,7,7,Branden Oliver left tackle for 3 yards (tackle by Von Miller and Shelby Harris),0.210,-0.270
2,12:04,3,1,LAC 24,7,7,Philip Rivers pass complete short right to Melvin Gordon for 3 yards,-0.270,0.740
2,11:43,1,10,LAC 27,7,7,Branden Oliver middle for 1 yard (tackle by Adam Gotsis),0.740,0.330
2,11:11,2,9,LAC 28,7,7,Branden Oliver middle for no gain (tackle by Adam Gotsis),0.330,-0.360
2,10:25,3,9,LAC 28,7,7,Philip Rivers pass incomplete short right intended for Antonio Gates,-0.360,-1.500
2,10:20,4,9,LAC 28,7,7,"Drew Kaser punts 59 yards, returned by Isaiah McKenzie for 31 yards",-1.500,-1.860
2,10:05,1,10,DEN 44,7,7,Jamaal Charles right tackle for 3 yards (tackle by Korey Toomer and Brandon Mebane),1.860,1.720
2,9:23,2,7,DEN 47,7,7,Trevor Siemian pass incomplete short left intended for Emmanuel Sanders (defended by Korey Toomer),1.720,1.030
2,9:19,3,7,DEN 47,7,7,Trevor Siemian pass complete short left to A.J. Derby for 9 yards (tackle by Jatavis Brown),1.030,2.650
2,8:40,1,10,LAC 44,7,7,C.J. Anderson left tackle for 18 yards (tackle by Tre Boston),2.650,3.840
2,8:05,1,10,LAC 26,7,7,Trevor Siemian middle for 8 yards (tackle by Jatavis Brown),3.840,4.450
2,7:25,2,2,LAC 18,7,7,Jamaal Charles middle for 4 yards (tackle by Hayes Pullard and Joey Bosa),4.450,4.650
2,6:44,1,10,LAC 14,7,7,Trevor Siemian pass complete short left to A.J. Derby for 13 yards (tackle by Hayes Pullard),4.650,0.000
2,6:11,,,,,,Timeout #3 by Los Angeles Chargers,0.000,-6.970
2,6:11,1,1,LAC 1,7,7,C.J. Anderson middle for no gain (tackle by Isaac Rochell),6.970,5.910
2,5:33,2,1,LAC 1,7,13,"Trevor Siemian right end for 1 yard, touchdown",5.910,7.000
2,5:27,,,LAC 15,7,14,Brandon McManus kicks extra point good,0.000,0.000
2,5:27,,,DEN 35,7,14,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.610
2,5:27,1,10,LAC 25,7,14,Melvin Gordon right tackle for 2 yards (tackle by Von Miller),0.610,0.330
2,4:47,2,8,LAC 27,7,14,Philip Rivers pass complete short right to Travis Benjamin for 6 yards (tackle by Darian Stewart),0.330,0.430
2,4:10,3,2,LAC 33,7,14,Philip Rivers pass complete short right to Keenan Allen for 9 yards (tackle by Von Miller),0.430,1.730
2,3:29,1,10,LAC 42,7,14,Philip Rivers pass complete short middle to Tyrell Williams for 14 yards (tackle by Darian Stewart),1.730,2.650
2,2:50,1,10,DEN 44,7,14,Melvin Gordon middle for 1 yard (tackle by Tyrique Jarrett and Darian Stewart),2.650,2.250
2,2:07,2,9,DEN 43,7,14,Melvin Gordon middle for 4 yards (tackle by Darian Stewart),2.250,2.080
2,2:00,3,5,DEN 39,7,14,Philip Rivers pass incomplete short left intended for Branden Oliver,2.080,0.660
2,1:56,4,5,DEN 39,7,14,"Drew Kaser punts 30 yards, returned by Isaiah McKenzie for 9 yards (tackle by Austin Ekeler)",0.660,-0.040
2,1:46,1,10,DEN 18,7,14,C.J. Anderson middle for 9 yards (tackle by Brandon Mebane),0.040,0.820
2,1:16,2,1,DEN 27,7,14,C.J. Anderson left tackle for 5 yards (tackle by Jason Verrett),0.820,1.070
2,0:52,1,10,DEN 32,7,14,Trevor Siemian right tackle for 2 yards (tackle by Jatavis Brown),1.070,0.800
2,0:44,2,8,DEN 34,7,14,Trevor Siemian sacked by Chris McCain for -10 yards. Penalty on Garett Bolles: Offensive Holding (Declined),0.800,-1.220
2,0:38,3,18,DEN 24,7,14,Jamaal Charles middle for 4 yards (tackle by Chris McCain),-1.220,-1.500
Quarter,Time,Down,ToGo,Location,LAC,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 35,7,14,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,LAC 25,7,14,Melvin Gordon middle for 2 yards (tackle by Domata Peko),0.610,0.330
