Unnamed: 0,LAC,DEN
First Downs,17,22
Rush-Yds-TDs,22-64-0,36-140-1
Cmp-Att-Yd-TD-INT,22-33-192-3-1,17-28-219-2-1
Sacked-Yards,1-7,4-38
Net Pass Yards,185,181
Total Yards,249,321
Fumbles-Lost,0-0,1-1
Turnovers,1,2
Penalties-Yards,4-40,3-62
Third Down Conv.,3-12,8-15
Fourth Down Conv.,1-2,0-0
Time of Possession,25:47,34:13
