Unnamed: 0,CLE,CAR
First Downs,8,27
Rush-Yds-TDs,22-84-0,45-209-1
Cmp-Att-Yd-TD-INT,10-21-166-1-1,18-31-201-1-1
Sacked-Yards,3-22,1-6
Net Pass Yards,144,195
Total Yards,228,404
Fumbles-Lost,0-0,2-1
Turnovers,1,2
Penalties-Yards,6-49,5-49
Third Down Conv.,3-12,9-16
Fourth Down Conv.,0-0,0-0
Time of Possession,21:57,38:03
