Quarter,Time,Down,ToGo,Location,CLE,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss and deferred, Panthers to receive the opening kickoff.",,
1,15:00,,,CLE 35,0,0,"Spencer Lanning kicks off 69 yards, returned by Fozzy Whittaker for 26 yards (tackle by Craig Robertson)",0.000,-0.410
1,14:56,1,10,CAR 22,0,0,Jonathan Stewart left guard for 8 yards (tackle by Karlos Dansby and Craig Robertson),0.410,0.950
1,14:14,2,2,CAR 30,0,0,Cam Newton right end for 4 yards (tackle by Karlos Dansby),0.950,1.200
1,13:38,1,10,CAR 34,0,0,Cam Newton right tackle for 15 yards (tackle by Christian Kirksey),1.200,2.190
1,13:05,1,10,CAR 49,0,0,Jonathan Stewart up the middle for 1 yard (tackle by Desmond Bryant),2.190,1.780
1,12:22,2,9,,0,0,Cam Newton pass complete deep right to Jerricho Cotchery for 18 yards (tackle by Buster Skrine),1.780,3.450
1,11:38,1,10,CLE 32,0,0,Cam Newton pass incomplete short right intended for Kelvin Benjamin,3.450,2.900
1,11:34,2,10,CLE 32,0,0,Cam Newton pass complete short left to Jerricho Cotchery for 7 yards (tackle by Pierre Desir),2.900,3.140
1,11:11,3,3,CLE 25,0,0,Jonathan Stewart right end for -6 yards (tackle by Billy Winn and Christian Kirksey),3.140,1.320
1,10:35,4,9,CLE 31,0,0,Graham Gano 49 yard field goal no good,1.320,-1.530
1,10:29,1,10,CLE 39,0,0,Johnny Manziel pass incomplete short right intended for Josh Gordon,1.530,0.990
1,10:25,2,10,CLE 39,0,0,Isaiah Crowell right end for 3 yards (tackle by Roman Harper and Josh Norman),0.990,0.700
1,9:40,3,7,CLE 42,0,0,Johnny Manziel right end for 4 yards (tackle by Star Lotulelei),0.700,-0.320
1,9:20,4,3,CLE 46,0,0,"Spencer Lanning punts 35 yards, fair catch by Brenton Bersin",-0.320,-0.150
1,9:12,1,10,CAR 19,0,0,Cam Newton pass complete short left to Jerricho Cotchery for 5 yards (tackle by Pierre Desir),0.150,0.340
1,8:53,2,5,CAR 24,0,0,Jonathan Stewart up the middle for 8 yards (tackle by Christian Kirksey),0.340,1.070
1,8:24,1,10,CAR 32,0,0,Cam Newton pass incomplete short middle intended for Kelvin Benjamin,1.070,0.530
1,8:18,2,10,CAR 32,0,0,"Cam Newton pass complete short right to Philly Brown for 10 yards (tackle by Pierre Desir). Penalty on Pierre Desir: Illegal Use of Hands, 5 yards (no play)",0.530,1.400
1,7:47,1,10,CAR 37,0,0,Mike Tolbert right tackle for 4 yards (tackle by Ahtyba Rubin),1.400,1.400
1,7:06,2,6,CAR 41,0,0,Mike Tolbert up the middle for 1 yard (tackle by Jabaal Sheard),1.400,0.830
1,6:29,3,5,CAR 42,0,0,Cam Newton pass complete short left to Philly Brown for 10 yards (tackle by Pierre Desir),0.830,2.390
1,6:04,1,10,CLE 48,0,0,Jonathan Stewart left guard for 17 yards (tackle by Jim Leonhard),2.390,3.510
1,5:39,1,10,CLE 31,0,0,Jonathan Stewart left guard for 13 yards (tackle by Donte Whitner),3.510,4.370
1,5:11,1,10,CLE 18,0,0,Mike Tolbert up the middle for 8 yards (tackle by Sione Fua),4.370,5.230
1,4:29,2,2,CLE 10,0,0,Mike Tolbert right tackle for 5 yards (tackle by Karlos Dansby),5.230,6.060
1,3:44,1,5,CLE 5,0,0,Cam Newton pass incomplete short right intended for Mike Tolbert,6.060,5.150
1,3:38,2,5,CLE 5,0,0,Jonathan Stewart right end for 1 yard (tackle by Karlos Dansby and Paul Kruger),5.150,4.490
1,2:54,3,4,CLE 4,0,0,Cam Newton pass incomplete short left intended for Kelvin Benjamin,4.490,3.030
1,2:49,4,4,CLE 4,0,3,Graham Gano 23 yard field goal good,3.030,3.000
1,2:49,,,CAR 35,0,3,"Graham Gano kicks off 65 yards, touchback",0.000,-0.280
1,2:46,1,10,CLE 20,0,3,Johnny Manziel pass complete short middle to Jordan Cameron for 3 yards (tackle by Roman Harper and Luke Kuechly),0.280,0.280
1,2:05,1,10,CLE 20,0,3,Timeout #1 by Cleveland Browns,0.280,0.140
1,2:05,2,7,CLE 23,0,3,Johnny Manziel pass incomplete short right intended for Josh Gordon (defended by Charles Johnson),0.140,-0.560
1,2:00,3,7,CLE 23,0,3,Johnny Manziel pass complete deep left to Andrew Hawkins for 28 yards (tackle by Bene Benwikere),-0.560,2.320
1,1:24,1,10,CAR 49,0,3,Isaiah Crowell up the middle for -3 yards (tackle by Kawann Short),2.320,1.380
1,0:38,2,13,CLE 48,0,3,Isaiah Crowell up the middle for 5 yards (tackle by Luke Kuechly),1.380,1.360
Quarter,Time,Down,ToGo,Location,CLE,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,8,CAR 47,0,3,"Johnny Manziel pass incomplete short right intended for Andrew Hawkins. Penalty on Josh Norman: Unnecessary Roughness, 15 yards",1.360,3.450
2,14:55,1,10,CAR 32,0,3,Andrew Hawkins left end for 2 yards (tackle by Colin Jones),3.450,3.170
2,14:16,2,8,CAR 30,0,3,Isaiah Crowell left tackle for 5 yards (tackle by Bene Benwikere and Adarius Glanton),3.170,3.140
2,13:32,3,3,CAR 25,0,3,Johnny Manziel pass incomplete short right intended for Josh Gordon,3.140,1.900
,,,,,,,"CAR challenged the pass completion ruling, and the original play was overturned.",,
2,13:29,4,3,CAR 25,3,3,Garrett Hartley 43 yard field goal good,1.900,3.000
2,13:29,,,CLE 35,3,3,"Spencer Lanning kicks off 65 yards, touchback",0.000,-0.280
2,13:25,1,10,CAR 20,3,3,Cam Newton pass incomplete deep right intended for Philly Brown,0.280,-0.270
2,13:19,2,10,CAR 20,3,3,Jonathan Stewart up the middle for 5 yards (tackle by Paul Kruger),-0.270,-0.300
2,12:40,3,5,CAR 25,3,3,Cam Newton pass complete short right to Kelvin Benjamin for 8 yards (tackle by Pierre Desir),-0.300,1.140
2,12:15,1,10,CAR 33,3,3,Jonathan Stewart up the middle for 2 yards (tackle by Scott Solomon and Ishmaa'ily Kitchen),1.140,0.860
2,11:30,2,8,CAR 35,3,3,Jonathan Stewart up the middle for 6 yards (tackle by Jordan Poyer and Christian Kirksey),0.860,0.960
2,10:51,3,2,CAR 41,3,3,Cam Newton right tackle for 1 yard (tackle by Karlos Dansby and Donte Whitner),0.960,-0.590
2,10:08,4,1,CAR 42,3,3,"Brad Nortman punts 36 yards, fair catch by Jim Leonhard",-0.590,-0.410
2,9:59,1,10,CLE 22,3,3,Isaiah Crowell left end for 4 yards (tackle by Colin Cole),0.410,0.410
2,9:20,2,6,CLE 26,3,3,Johnny Manziel pass complete short right to Taylor Gabriel for 1 yard (tackle by Bene Benwikere),0.410,-0.160
2,8:35,3,5,CLE 27,3,3,Johnny Manziel pass incomplete short left intended for Jordan Cameron (defended by Roman Harper),-0.160,-1.570
2,8:31,4,5,CLE 27,3,3,"Spencer Lanning punts 45 yards, fair catch by Brenton Bersin. Penalty on Marlon Moore: Fair Catch Interference, 15 yards",-1.570,-1.800
2,8:21,1,10,CAR 43,3,3,"Cam Newton right end for 1 yard (tackle by Barkevious Mingo). Penalty on Buster Skrine: Defensive Holding, 5 yards",1.800,2.190
2,8:01,1,10,CAR 49,3,3,Jonathan Stewart up the middle for no gain (tackle by Sione Fua),2.190,1.650
2,7:31,2,10,CAR 49,3,3,Jonathan Stewart up the middle for 8 yards (tackle by Jabaal Sheard),1.650,2.010
2,6:48,3,2,CLE 43,3,3,Cam Newton up the middle for 5 yards (tackle by Christian Kirksey),2.010,3.050
2,6:16,1,10,CLE 38,3,3,Cam Newton pass complete short right to Jerricho Cotchery for 3 yards (tackle by Buster Skrine),3.050,2.910
2,5:44,2,7,CLE 35,3,3,Cam Newton pass incomplete short right intended for Greg Olsen,2.910,2.210
2,5:39,3,7,CLE 35,3,3,Cam Newton pass complete deep left to Kelvin Benjamin for 18 yards,2.210,4.440
2,5:23,1,10,CLE 17,3,3,"Penalty on Trai Turner: False Start, 5 yards (no play)",4.440,4.110
2,4:48,1,15,CLE 22,3,3,Cam Newton right guard for 7 yards (tackle by Donte Whitner),4.110,4.150
2,4:13,2,8,CLE 15,3,3,Cam Newton pass complete short left to Ed Dickson for 10 yards (tackle by Craig Robertson),4.150,6.060
2,3:30,1,5,CLE 5,3,3,Jonathan Stewart left guard for 3 yards (tackle by Paul Kruger and Ishmaa'ily Kitchen),6.060,5.720
2,2:50,2,2,CLE 2,3,3,Mike Tolbert right guard for no gain (tackle by Craig Robertson),5.720,4.950
2,2:00,3,2,CLE 2,3,9,"Cam Newton right end for 2 yards, touchdown",4.950,7.000
2,2:00,,,CLE 2,3,10,Graham Gano kicks extra point good,0.000,0.000
2,2:00,,,CAR 35,3,10,"Graham Gano kicks off 65 yards, touchback",0.000,-0.280
2,1:54,1,10,CLE 20,3,10,Johnny Manziel left end for -1 yards (tackle by Luke Kuechly and Colin Jones),0.280,0.280
2,1:49,1,10,CLE 20,3,10,Timeout #2 by Cleveland Browns,0.280,-0.460
2,1:49,2,11,CLE 19,3,10,Brian Hoyer pass incomplete short right intended for Andrew Hawkins,-0.460,-1.140
2,1:45,3,11,CLE 19,3,10,"Brian Hoyer pass complete deep left to Josh Gordon for 23 yards (tackle by Luke Kuechly). Penalty on Taylor Gabriel: Illegal Shift, 5 yards (no play)",-1.140,-2.030
2,1:34,3,16,CLE 14,3,10,Brian Hoyer pass complete short middle to Josh Gordon for 10 yards (tackle by Luke Kuechly),-2.030,-2.030
