Unnamed: 0,GNB,NYG
First Downs,19,18
Rush-Yds-TDs,25-123-1,34-209-2
Cmp-Att-Yd-TD-INT,25-39-218-1-1,17-21-158-1-0
Sacked-Yards,2-15,0-0
Net Pass Yards,203,158
Total Yards,326,367
Fumbles-Lost,3-2,2-2
Turnovers,3,2
Penalties-Yards,4-39,5-47
Third Down Conv.,5-14,3-10
Fourth Down Conv.,1-1,0-1
Time of Possession,31:06,28:54
