Unnamed: 0,ARI,MIN
First Downs,24,16
Rush-Yds-TDs,28-135-1,24-72-1
Cmp-Att-Yd-TD-INT,20-38-198-2-2,20-28-169-1-0
Sacked-Yards,4-43,2-24
Net Pass Yards,155,145
Total Yards,290,217
Fumbles-Lost,1-0,1-1
Turnovers,2,1
Penalties-Yards,8-96,10-73
Third Down Conv.,4-13,6-13
Fourth Down Conv.,0-1,0-1
Time of Possession,31:02,28:58
