Quarter,Time,Tm,Detail,ARI,MIN
1.0,10:25,Vikings,Adam Thielen 16 yard pass from Sam Bradford (Kai Forbath kick),0,7
,4:07,Cardinals,David Johnson 1 yard rush (Chandler Catanzaro kick),7,7
2.0,10:04,Cardinals,Chandler Catanzaro 34 yard field goal,10,7
,7:16,Vikings,Matt Asiata 2 yard rush (Kai Forbath kick failed),10,13
,3:07,Vikings,Xavier Rhodes 100 yard interception return (Kai Forbath kick),10,20
,0:50,Cardinals,Jermaine Gresham 29 yard pass from Carson Palmer (Chandler Catanzaro kick),17,20
3.0,14:47,Vikings,Cordarrelle Patterson 104 yard kickoff return (Kai Forbath kick),17,27
,0:04,Vikings,Kai Forbath 27 yard field goal,17,30
4.0,7:24,Cardinals,David Johnson 4 yard pass from Carson Palmer (Chandler Catanzaro kick),24,30
