Quarter,Time,Tm,Detail,GNB,MIN
1.0,13:11,Vikings,Dan Bailey 23 yard field goal,0,3
,2:00,Packers,Mason Crosby 42 yard field goal,3,3
2.0,13:33,Vikings,Stefon Diggs 21 yard pass from Kirk Cousins (Dan Bailey kick),3,10
,7:00,Packers,Mason Crosby 33 yard field goal,6,10
,0:00,Packers,Mason Crosby 19 yard field goal,9,10
3.0,2:03,Packers,Aaron Jones 12 yard rush (Geronimo Allison pass from Aaron Rodgers),17,10
4.0,5:51,Packers,Aaron Jones 56 yard rush (Mason Crosby kick failed),23,10
