Quarter,Time,Down,ToGo,Location,PIT,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss, Steelers to receive the opening kickoff.",,
1,15:00,,,IND 30,0,0,"Dave Rayner kicks off 66 yards, returned by Ricardo Colclough for 21 yards (tackle by Robert Mathis). Penalty on Dexter Reid: Personal Foul, 15 yards",0.000,-1.600
1,14:55,1,10,PIT 40,0,0,Willie Parker right guard for -1 yards (tackle by Raheem Brock),1.600,0.920
1,14:19,2,11,PIT 39,0,0,Ben Roethlisberger pass incomplete intended for Hines Ward,0.920,0.230
1,14:14,3,11,PIT 39,0,0,Ben Roethlisberger pass complete to Heath Miller for 6 yards (tackle by Cato June and Gary Brackett),0.230,-0.390
1,13:36,4,5,PIT 45,0,0,"Chris Gardocki punts 55 yards, touchback",-0.390,-0.280
1,13:26,1,10,IND 20,0,6,"Peyton Manning pass complete to Marvin Harrison for 80 yards, touchdown",0.280,7.000
1,,,,PIT 2,0,7,Mike Vanderjagt kicks extra point good,0.000,0.000
1,,,,IND 30,0,7,"Dave Rayner kicks off 61 yards, returned by Ricardo Colclough for 19 yards (tackle by Gilbert Gardner)",0.000,-0.810
1,13:11,1,10,PIT 28,0,7,Willie Parker left tackle for -3 yards (tackle by Dwight Freeney),0.810,-0.140
1,12:30,2,13,PIT 25,0,7,Willie Parker right guard for no gain (tackle by Gary Brackett),-0.140,-0.820
1,11:48,3,13,PIT 25,0,7,Ben Roethlisberger sacked by Montae Reagor for -5 yards,-0.820,-2.030
1,11:24,4,18,PIT 20,0,7,"Chris Gardocki punts 49 yards, returned by Troy Walters for 13 yards (tackle by Sean Morey)",-2.030,-1.860
1,11:13,1,10,IND 44,0,7,Peyton Manning pass complete to Reggie Wayne for 13 yards (tackle by Bryant McFadden),1.860,2.720
1,10:39,1,10,PIT 43,0,7,Edgerrin James up the middle for 4 yards,2.720,2.720
1,10:02,2,6,PIT 39,0,7,Peyton Manning pass complete to Reggie Wayne for 19 yards (tackle by Chris Hope and Troy Polamalu),2.720,4.240
