Unnamed: 0,PIT,IND
First Downs,10,17
Rush-Yds-TDs,25-86-0,32-127-0
Cmp-Att-Yd-TD-INT,17-26-133-1-2,15-25-245-2-1
Sacked-Yards,3-22,2-6
Net Pass Yards,111,239
Total Yards,197,366
Fumbles-Lost,0-0,1-0
Turnovers,2,1
Penalties-Yards,10-62,12-106
Third Down Conv.,4-13,5-13
Fourth Down Conv.,0-1,0-0
Time of Possession,29:13,30:47
