Quarter,Time,Tm,Detail,PIT,IND
1.0,13:16,Colts,Marvin Harrison 80 yard pass from Peyton Manning (Mike Vanderjagt kick),0,7
,6:07,Colts,Mike Vanderjagt 29 yard field goal,0,10
,1:14,Steelers,Hines Ward 12 yard pass from Ben Roethlisberger (Jeff Reed kick),7,10
2.0,5:22,Colts,Mike Vanderjagt 48 yard field goal,7,13
,0:00,Colts,Mike Vanderjagt 44 yard field goal,7,16
3.0,11:47,Colts,Bryan Fletcher 12 yard pass from Peyton Manning (Mike Vanderjagt kick),7,23
4.0,1:38,Colts,Mike Vanderjagt 28 yard field goal,7,26
