Unnamed: 0,CIN,JAX
First Downs,20,19
Rush-Yds-TDs,26-132-0,37-181-0
Cmp-Att-Yd-TD-INT,22-33-239-2-0,10-24-161-2-0
Sacked-Yards,2-7,0-0
Net Pass Yards,232,161
Total Yards,364,342
Fumbles-Lost,2-1,1-1
Turnovers,1,1
Penalties-Yards,12-94,10-98
Third Down Conv.,4-13,2-11
Fourth Down Conv.,0-1,0-0
Time of Possession,30:35,29:25
