Quarter,Time,Tm,Detail,CIN,JAX
1.0,10:31,Jaguars,George Wrighster 26 yard pass from Byron Leftwich (Josh Scobee kick),0,7
,0:50,Jaguars,Josh Scobee 32 yard field goal,0,10
2.0,10:07,Jaguars,Josh Scobee 51 yard field goal,0,13
,5:36,Bengals,Chad Johnson 14 yard pass from Carson Palmer (Shayne Graham kick),7,13
3.0,12:16,Jaguars,Ernest Wilford 11 yard pass from Byron Leftwich (Josh Scobee kick),7,20
,7:05,Bengals,Shayne Graham 31 yard field goal,10,20
,4:29,Bengals,Shayne Graham 48 yard field goal,13,20
4.0,9:45,Jaguars,Josh Scobee 53 yard field goal,13,23
,5:16,Bengals,Chris Henry 25 yard pass from Carson Palmer (Shayne Graham kick),20,23
