Unnamed: 0,PIT,PHI
First Downs,14,16
Rush-Yds-TDs,19-33-0,23-65-0
Cmp-Att-Yd-TD-INT,17-32-191-0-1,26-38-214-1-2
Sacked-Yards,9-44,3-19
Net Pass Yards,147,195
Total Yards,180,260
Fumbles-Lost,2-2,1-1
Turnovers,3,3
Penalties-Yards,7-35,7-62
Third Down Conv.,2-13,6-14
Fourth Down Conv.,0-1,0-0
Time of Possession,27:26,32:34
