Quarter,Time,Tm,Detail,DET,CLE
1.0,8:30,Browns,Phil Dawson 30 yard field goal,0,3
2.0,5:26,Lions,Jeff Garcia 1 yard rush (Jason Hanson kick),7,3
,5:14,Browns,Josh Cribbs 90 yard kickoff return (Phil Dawson kick),7,10
3.0,9:29,Lions,Jason Hanson 47 yard field goal,10,10
4.0,14:07,Lions,Jason Hanson 50 yard field goal,13,10
