Unnamed: 0,DET,CLE
First Downs,19,11
Rush-Yds-TDs,37-119-1,22-118-0
Cmp-Att-Yd-TD-INT,22-34-210-0-0,10-19-73-0-3
Sacked-Yards,0-0,4-17
Net Pass Yards,210,56
Total Yards,329,174
Fumbles-Lost,1-1,1-0
Turnovers,1,3
Penalties-Yards,11-72,8-50
Third Down Conv.,5-14,0-8
Fourth Down Conv.,1-1,0-0
Time of Possession,37:17,22:43
