Unnamed: 0,NWE,PIT
First Downs,19,29
Rush-Yds-TDs,12-43-0,23-98-0
Cmp-Att-Yd-TD-INT,24-35-198-2-0,36-50-365-2-1
Sacked-Yards,3-28,5-36
Net Pass Yards,170,329
Total Yards,213,427
Fumbles-Lost,1-0,1-0
Turnovers,0,1
Penalties-Yards,6-37,8-50
Third Down Conv.,3-10,10-16
Fourth Down Conv.,0-0,0-0
Time of Possession,20:38,39:22
