Quarter,Time,Down,ToGo,Location,DEN,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Broncos to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,DEN 20,0,0,Ronnie Hillman left end for no gain (tackle by Kyle Arrington and Patrick Chung),0.280,-0.270
1,14:11,2,10,DEN 20,0,0,Ronnie Hillman right tackle for 3 yards (tackle by Patrick Chung),-0.270,-0.560
1,13:24,3,7,DEN 23,0,0,"Penalty on Peyton Manning: Delay of Game, 5 yards (no play)",-0.560,-1.330
1,13:05,3,12,DEN 18,0,0,Peyton Manning pass complete short right to Emmanuel Sanders for 5 yards (tackle by Jamie Collins),-1.330,-1.830
1,12:23,4,7,DEN 23,0,0,"Britton Colquitt punts 47 yards, fair catch by Danny Amendola",-1.830,-0.940
1,12:16,1,10,NWE 30,0,0,Tom Brady pass complete short left to Brandon LaFell for 6 yards (tackle by Von Miller),0.940,1.200
1,11:46,2,4,NWE 36,0,0,Jonas Gray right guard for 3 yards (tackle by Nate Irving),1.200,0.890
1,11:12,3,1,NWE 39,0,0,Tom Brady pass complete short left to James Develin for 10 yards (tackle by T.J. Ward),0.890,2.190
1,10:43,1,10,NWE 49,0,0,Tom Brady pass incomplete short middle intended for Jonas Gray,2.190,1.650
1,10:39,2,10,NWE 49,0,0,Tom Brady pass incomplete short right intended for Brandon LaFell,1.650,0.960
1,10:34,3,10,NWE 49,0,0,Tom Brady pass incomplete deep middle intended for Brandon LaFell,0.960,-0.130
1,10:29,4,10,NWE 49,0,0,"Ryan Allen punts 51 yards, touchback",-0.130,-0.280
1,10:19,1,10,DEN 20,0,0,Ronnie Hillman left tackle for 2 yards (tackle by Dont'a Hightower),0.280,0.000
1,9:55,2,8,DEN 22,0,0,Peyton Manning pass complete short left to Ronnie Hillman for -3 yards (tackle by Jamie Collins),0.000,-1.140
1,9:12,3,11,DEN 19,0,0,Peyton Manning pass incomplete deep left intended for Demaryius Thomas,-1.140,-2.140
1,9:07,4,11,DEN 19,0,0,"Britton Colquitt punts 35 yards, fair catch by Danny Amendola. Penalty on Kayvon Webster: Interference with Opportunity to, 15 yards",-2.140,-2.980
1,8:59,1,10,DEN 39,0,0,Jonas Gray right tackle for 3 yards (tackle by Aqib Talib),2.980,2.850
1,8:27,2,7,DEN 36,0,0,Jonas Gray up the middle for 1 yard (tackle by DeMarcus Ware),2.850,2.280
1,7:55,3,6,DEN 35,0,0,Tom Brady pass complete short left to Julian Edelman for 4 yards (tackle by Chris Harris),2.280,1.400
1,7:15,4,2,DEN 31,0,3,Stephen Gostkowski 49 yard field goal good,1.400,3.000
1,7:15,,,NWE 35,0,3,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.280
1,7:09,1,10,DEN 20,0,3,Peyton Manning pass complete short right to Ronnie Hillman for 7 yards (tackle by Kyle Arrington),0.280,0.680
1,6:38,2,3,DEN 27,0,3,Peyton Manning pass complete short left to Emmanuel Sanders for 17 yards (tackle by Dont'a Hightower),0.680,1.860
1,6:17,1,10,DEN 44,0,3,Peyton Manning pass complete short middle to Ronnie Hillman for 4 yards (tackle by Patrick Chung),1.860,1.860
1,5:43,2,6,DEN 48,0,3,Peyton Manning pass complete deep left to Emmanuel Sanders for 21 yards (tackle by Darrelle Revis),1.860,3.510
1,5:09,1,10,NWE 31,0,3,Juwan Thompson left tackle for no gain (tackle by Vince Wilfork and Jamie Collins),3.510,2.970
1,4:38,2,10,NWE 31,0,3,Peyton Manning pass complete deep right to Demaryius Thomas for 18 yards (tackle by Darrelle Revis),2.970,4.710
1,4:12,1,10,NWE 13,0,3,Peyton Manning pass incomplete short right intended for Wes Welker (defended by Patrick Chung),4.710,4.050
1,4:08,2,10,NWE 13,0,3,Peyton Manning pass incomplete short left intended for Ronnie Hillman,4.050,3.120
1,4:03,3,10,NWE 13,0,3,"Peyton Manning pass incomplete short middle intended for Demaryius Thomas (defended by Brandon Browner). Penalty on Brandon Browner: Defensive Pass Interference, 12 yards (no play)",3.120,6.970
1,3:58,1,1,NWE 1,6,3,"Ronnie Hillman left end for 1 yard, touchdown",6.970,7.000
1,3:58,,,NWE 2,7,3,Brandon McManus kicks extra point good,0.000,0.000
1,3:58,,,DEN 35,7,3,"Brandon McManus kicks off 65 yards, returned by Danny Amendola for 22 yards (tackle by Omar Bolden)",0.000,-0.410
1,3:49,1,10,NWE 22,7,3,Tom Brady pass complete short middle to Rob Gronkowski for 20 yards (tackle by T.J. Ward),0.410,1.730
1,3:23,1,10,NWE 42,7,3,Tom Brady pass complete short left to Shane Vereen for 4 yards (tackle by Rahim Moore),1.730,1.730
1,2:56,2,6,NWE 46,7,3,Tom Brady pass complete short middle to Julian Edelman for 13 yards (tackle by T.J. Ward),1.730,2.850
1,2:34,1,10,DEN 41,7,3,Tom Brady pass complete short middle to Rob Gronkowski for 7 yards (tackle by T.J. Ward),2.850,3.250
1,2:09,2,3,DEN 34,7,3,Shane Vereen up the middle for 6 yards (tackle by Nate Irving and Derek Wolfe),3.250,3.710
1,1:42,1,10,DEN 28,7,3,Shane Vereen up the middle for no gain (tackle by Derek Wolfe),3.710,3.170
1,1:19,2,10,DEN 28,7,3,Tom Brady pass incomplete,3.170,2.480
1,1:15,3,10,DEN 28,7,3,Tom Brady pass complete short right to Rob Gronkowski for 11 yards (tackle by Kayvon Webster),2.480,4.440
1,0:35,1,10,DEN 17,7,3,Tom Brady sacked by DeMarcus Ware for -1 yards,4.440,3.720
Quarter,Time,Down,ToGo,Location,DEN,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,11,DEN 18,7,3,Tom Brady pass complete short middle to Julian Edelman for 7 yards (tackle by T.J. Ward),3.720,4.100
2,14:28,3,4,DEN 11,7,3,Tom Brady pass incomplete short middle intended for Brandon LaFell,4.100,2.770
2,14:23,4,4,DEN 11,7,6,Stephen Gostkowski 29 yard field goal good,2.770,3.000
2,14:23,,,NWE 35,7,6,"Stephen Gostkowski kicks off 58 yards, returned by Andre Caldwell for 14 yards (tackle by Jonathan Casillas)",0.000,-0.340
2,14:14,1,10,DEN 21,7,6,Peyton Manning pass complete short right to Wes Welker for 14 yards (tackle by Patrick Chung),0.340,1.270
2,13:42,1,10,DEN 35,7,6,Peyton Manning pass incomplete short middle intended for Demaryius Thomas is intercepted by Rob Ninkovich at DEN-45 and returned for 11 yards,1.270,-3.310
2,13:34,1,10,DEN 34,7,6,Jonas Gray left guard for no gain (tackle by Derek Wolfe),3.310,2.770
2,13:09,2,10,DEN 34,7,6,Tom Brady pass complete short right to Julian Edelman for 11 yards (tackle by Aqib Talib),2.770,4.040
2,12:37,1,10,DEN 23,7,6,Tom Brady pass complete short left to Rob Gronkowski for 13 yards (tackle by Rahim Moore),4.040,4.910
2,11:50,1,10,DEN 10,7,6,"Tom Brady pass incomplete short middle intended for Shane Vereen. Penalty on Nate Irving: Defensive Holding, 5 yards (no play)",4.910,6.060
2,11:45,1,5,DEN 5,7,12,"Tom Brady pass complete short middle to Julian Edelman for 5 yards, touchdown",6.060,7.000
2,11:45,,,DEN 2,7,13,Stephen Gostkowski kicks extra point good,0.000,0.000
2,11:45,,,NWE 35,7,13,"Stephen Gostkowski kicks off 64 yards, returned by Andre Caldwell for 19 yards (tackle by Jonathan Casillas)",0.000,-0.280
2,11:37,1,10,DEN 20,7,13,"Ronnie Hillman left guard for 1 yard (tackle by Jamie Collins). Penalty on Andre Caldwell: Illegal Formation, 5 yards (no play)",0.280,-0.310
2,11:11,1,15,DEN 15,7,13,Peyton Manning pass complete short left to Demaryius Thomas for 2 yards (tackle by Jamie Collins),-0.310,-0.790
2,10:25,2,13,DEN 17,7,13,Peyton Manning pass complete short left to Demaryius Thomas for 24 yards (tackle by Patrick Chung),-0.790,1.660
2,9:53,1,10,DEN 41,7,13,Ronnie Hillman left guard for no gain (tackle by Dont'a Hightower),1.660,1.120
2,9:12,2,10,DEN 41,7,13,"Peyton Manning pass complete short right to Wes Welker for 7 yards (tackle by Patrick Chung). Penalty on Paul Cornick: Offensive Holding, 10 yards (no play)",1.120,-0.230
2,8:42,2,20,DEN 31,7,13,Peyton Manning pass incomplete deep left intended for Demaryius Thomas,-0.230,-0.230
2,8:38,2,20,DEN 31,7,13,Timeout #1 by New England Patriots,-0.230,-0.890
2,8:38,3,20,DEN 31,7,13,Peyton Manning pass incomplete deep right intended for Emmanuel Sanders,-0.890,-1.310
2,8:33,4,20,DEN 31,7,19,"Britton Colquitt fumbles, recovered by Britton Colquitt at DEN-19. Britton Colquitt punts 53 yards, returned by Julian Edelman for 84 yards, touchdown. Penalty on DEN: Ineligible Downfield Kick (Declined)",-1.310,-7.000
2,8:11,,,DEN 2,7,20,Stephen Gostkowski kicks extra point good,0.000,0.000
2,8:11,,,NWE 35,7,20,"Stephen Gostkowski kicks off 55 yards, returned by Andre Caldwell for 15 yards (tackle by Jonathan Casillas)",0.000,-0.610
2,8:08,1,10,DEN 25,7,20,Peyton Manning pass complete short right to Emmanuel Sanders for 11 yards (tackle by Jamie Collins),0.610,1.330
2,7:45,1,10,DEN 36,7,20,Ronnie Hillman left guard for 4 yards (tackle by Jamie Collins),1.330,1.330
2,7:19,2,6,DEN 40,7,20,Peyton Manning pass complete short right to Emmanuel Sanders for 10 yards (tackle by Malcolm Butler),1.330,2.260
2,6:56,1,10,,7,20,Ronnie Hillman right guard for 2 yards (tackle by Akeem Ayers),2.260,1.980
2,6:32,2,8,NWE 48,7,20,Peyton Manning pass complete deep right to Emmanuel Sanders for 25 yards (tackle by Malcolm Butler),1.980,4.040
2,5:44,1,10,NWE 23,7,20,Peyton Manning pass incomplete short right intended for Ronnie Hillman,4.040,4.040
2,5:39,1,10,NWE 23,7,20,Timeout #1 by Denver Broncos,4.040,3.500
2,5:39,2,10,NWE 23,7,20,Peyton Manning pass incomplete short left intended for Wes Welker (defended by Kyle Arrington),3.500,2.810
2,5:34,3,10,NWE 23,7,20,Peyton Manning pass incomplete short left intended for Wes Welker,2.810,1.930
2,5:30,4,10,NWE 23,7,20,Brandon McManus 41 yard field goal no good,1.930,-1.000
2,5:25,1,10,NWE 31,7,20,Tom Brady pass incomplete deep left intended for Rob Gronkowski,1.000,0.460
2,5:21,2,10,NWE 31,7,20,Tom Brady pass complete short middle to Rob Gronkowski for 9 yards (tackle by Rahim Moore),0.460,0.960
2,5:00,3,1,NWE 40,7,20,Tom Brady pass incomplete,0.960,-0.720
2,4:54,4,1,NWE 40,7,20,Ryan Allen punts 27 yards,-0.720,-1.140
2,4:46,1,10,DEN 33,7,20,Peyton Manning pass complete short left to Juwan Thompson for 6 yards (tackle by Akeem Ayers),1.140,1.400
2,4:23,2,4,DEN 39,7,20,Peyton Manning pass complete short left to Wes Welker for 8 yards (tackle by Patrick Chung),1.400,2.060
2,3:58,1,10,DEN 47,7,20,Juwan Thompson left guard for 6 yards (tackle by Dont'a Hightower),2.060,2.330
2,3:37,2,4,NWE 47,7,20,Peyton Manning pass complete short middle to Wes Welker for 9 yards (tackle by Jamie Collins),2.330,3.050
2,3:07,1,10,NWE 38,7,20,Peyton Manning pass incomplete deep right intended for Emmanuel Sanders,3.050,2.510
2,2:59,2,10,NWE 38,7,20,Peyton Manning left guard for 4 yards (tackle by Vince Wilfork),2.510,2.340
2,2:14,3,6,NWE 34,7,20,Peyton Manning pass incomplete deep right intended for Wes Welker,2.340,2.340
2,2:09,3,6,NWE 34,7,20,Timeout #2 by New England Patriots,2.340,1.070
2,2:09,4,6,NWE 34,7,20,Peyton Manning sacked by Akeem Ayers for -9 yards,1.070,-1.800
2,2:05,1,10,NWE 43,7,20,Shane Vereen right guard for 1 yard (tackle by Aqib Talib),1.800,1.800
2,1:58,1,10,NWE 43,7,20,Timeout #3 by New England Patriots,1.800,1.390
2,1:58,2,9,NWE 44,7,20,"Tom Brady pass incomplete short right intended for Rob Gronkowski. Penalty on Aqib Talib: Defensive Holding, 5 yards (no play)",1.390,2.190
2,1:55,1,10,NWE 49,7,20,Shane Vereen up the middle for 4 yards (tackle by T.J. Ward),2.190,2.190
2,1:36,2,6,DEN 47,7,20,Tom Brady pass complete short left to Brandon LaFell for 9 yards (tackle by Bradley Roby),2.190,3.050
2,1:14,1,10,DEN 38,7,20,"Tom Brady pass incomplete. Penalty on Tom Brady: Intentional Grounding, 11 yards",3.050,1.020
2,1:11,2,21,DEN 49,7,20,Tom Brady pass complete deep right to Julian Edelman for 26 yards (tackle by Aqib Talib),1.020,4.040
2,0:44,1,10,DEN 23,7,20,Tom Brady pass complete short right to Shane Vereen for 18 yards (tackle by Aqib Talib),4.040,4.040
2,0:38,1,10,DEN 23,7,20,Timeout #2 by Denver Broncos,4.040,6.060
2,0:38,1,5,DEN 5,7,20,Tom Brady pass incomplete short right intended for Julian Edelman,6.060,5.150
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the original play was overturned.",,
2,0:33,2,5,DEN 5,7,20,Tom Brady pass complete short right to Shane Vereen for no gain,5.150,4.260
2,0:11,3,5,DEN 5,7,26,"Tom Brady pass complete short middle to Shane Vereen for 5 yards, touchdown",4.260,7.000
2,0:11,,,DEN 2,7,27,Stephen Gostkowski kicks extra point good,0.000,0.000
2,0:11,,,NWE 35,7,27,"Stephen Gostkowski kicks off 56 yards, returned by Omar Bolden for 12 yards (tackle by Brandon Bolden)",0.000,-0.340
2,0:02,1,10,DEN 21,7,27,Peyton Manning kneels for -1 yards,0.340,-0.340
Quarter,Time,Down,ToGo,Location,DEN,NWE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 35,7,27,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.280
3,15:00,1,10,NWE 20,7,27,Tom Brady pass complete deep middle to Brandon LaFell for 18 yards (tackle by Chris Harris),0.280,1.470
3,14:27,1,10,NWE 38,7,27,Jonas Gray right guard for no gain (tackle by DeMarcus Ware),1.470,0.920
3,13:51,2,10,NWE 38,7,27,"Tom Brady pass incomplete short left intended for Brandon LaFell. Penalty on Bradley Roby: Defensive Pass Interference, 8 yards (no play)",0.920,1.990
3,13:47,1,10,NWE 46,7,27,Tom Brady pass incomplete deep middle intended for Brandon LaFell,1.990,1.450
3,13:40,2,10,NWE 46,7,27,Tom Brady pass incomplete deep left intended for Shane Vereen (defended by Bradley Roby),1.450,0.760
3,13:35,3,10,NWE 46,7,27,Tom Brady pass incomplete short left intended for Danny Amendola is intercepted by Bradley Roby at DEN-43,0.760,-1.800
3,13:30,1,10,DEN 43,7,27,Peyton Manning pass incomplete short middle intended for Demaryius Thomas,1.800,1.250
3,13:24,2,10,DEN 43,7,27,Peyton Manning pass complete short right to Ronnie Hillman for 4 yards (tackle by Jamie Collins),1.250,1.090
3,12:52,3,6,DEN 47,7,27,Peyton Manning pass complete deep left to Demaryius Thomas for 27 yards (tackle by Devin McCourty and Brandon Browner),1.090,3.840
3,12:10,1,10,NWE 26,7,27,Peyton Manning pass complete short left to Ronnie Hillman for 7 yards (tackle by Dont'a Hightower),3.840,4.270
3,11:44,2,3,NWE 19,7,27,Ronnie Hillman up the middle for 1 yard (tackle by Patrick Chung and Rob Ninkovich),4.270,3.750
3,11:11,3,2,NWE 18,13,27,"Peyton Manning pass complete deep right to Julius Thomas for 18 yards, touchdown",3.750,7.000
3,11:11,,,NWE 2,14,27,Brandon McManus kicks extra point good,0.000,0.000
3,11:11,,,DEN 35,14,27,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.280
3,11:06,1,10,NWE 20,14,27,Tom Brady pass complete short left to Rob Gronkowski for 15 yards (tackle by Nate Irving),0.280,1.270
3,10:32,1,10,NWE 35,14,27,Tom Brady pass incomplete short right intended for Shane Vereen,1.270,0.720
3,10:29,2,10,NWE 35,14,27,Shane Vereen left guard for 2 yards (tackle by Derek Wolfe),0.720,0.300
3,9:52,3,8,NWE 37,14,27,Tom Brady pass complete deep right to Danny Amendola for 21 yards (tackle by Aqib Talib),0.300,2.790
3,9:28,1,10,DEN 42,14,27,Shane Vereen right tackle for 5 yards (tackle by Brandon Marshall),2.790,2.920
3,9:02,2,5,DEN 37,14,27,Tom Brady pass incomplete short right intended for Shane Vereen,2.920,2.210
3,8:58,3,5,DEN 37,14,27,Tom Brady pass incomplete,2.210,0.790
3,8:53,4,5,DEN 37,14,27,Tom Brady pass complete short right to Shane Vereen for 11 yards (tackle by Rahim Moore),0.790,3.840
3,8:53,1,10,DEN 26,14,27,Shane Vereen left tackle for -1 yards (tackle by Quanterus Smith),3.840,3.160
3,8:00,2,11,DEN 27,14,27,Tom Brady pass incomplete short right intended for Brandon LaFell,3.160,2.480
3,7:56,3,11,DEN 27,14,27,Tom Brady pass incomplete deep left intended for Brandon LaFell,2.480,1.670
3,7:51,4,11,DEN 27,14,30,Stephen Gostkowski 45 yard field goal good,1.670,3.000
3,7:51,,,NWE 35,14,30,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.280
3,7:46,1,10,DEN 20,14,30,Peyton Manning pass incomplete deep right intended for Wes Welker is intercepted by Brandon Browner at DEN-40 and returned for 30 yards,0.280,-4.910
3,7:31,1,10,DEN 10,14,36,"Tom Brady pass complete short middle to Brandon LaFell for 10 yards, touchdown",4.910,7.000
3,7:31,,,DEN 2,14,37,Stephen Gostkowski kicks extra point good,0.000,0.000
3,7:31,,,NWE 35,14,37,"Stephen Gostkowski kicks off 65 yards, muffed catch by Andre Caldwell, recovered by Andre Caldwell and returned for no gain. Penalty on Logan Ryan: Offside on Free Kick, 5 yards (no play)",0.000,0.000
3,7:31,,,NWE 30,14,37,"Stephen Gostkowski kicks off 55 yards, returned by Emmanuel Sanders for 13 yards (tackle by Logan Ryan)",0.000,-0.810
3,7:15,1,10,DEN 28,14,37,Peyton Manning pass complete short middle to Ronnie Hillman for 13 yards (tackle by Dont'a Hightower),0.810,1.660
3,6:40,1,10,DEN 41,14,37,Peyton Manning pass complete short left to Emmanuel Sanders for 25 yards (tackle by Devin McCourty),1.660,3.310
3,6:10,1,10,NWE 34,14,37,"Peyton Manning pass incomplete short left intended for Ronnie Hillman. Penalty on Jamie Collins: Defensive Pass Interference, 9 yards (no play)",3.310,3.910
3,6:05,1,10,NWE 25,14,37,"Penalty on Brandon Browner: Encroachment, 5 yards (no play)",3.910,4.640
3,6:05,1,5,NWE 20,14,37,"Peyton Manning pass incomplete short left intended for Jacob Tamme (defended by Patrick Chung). Penalty on Brandon Browner: Defensive Holding, 5 yards (no play)",4.640,4.580
3,6:00,1,10,NWE 15,14,37,Peyton Manning pass incomplete short left intended for Ronnie Hillman,4.580,3.950
3,5:56,2,10,NWE 15,20,37,"Peyton Manning pass complete short left to Ronnie Hillman for 15 yards, touchdown",3.950,7.000
3,5:56,,,NWE 2,21,37,Brandon McManus kicks extra point good,0.000,0.000
3,5:56,,,DEN 35,21,37,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.280
3,5:50,1,10,NWE 20,21,37,Shane Vereen right guard for 6 yards (tackle by Brandon Marshall and Nate Irving),0.280,0.540
