0,1
Game Info,Game Info
Won Toss,49ers
Roof,outdoors
Surface,grass
Duration,2:47
Attendance,65234
Weather,"77 degrees, relative humidity 60%, wind 8 mph, wind chill 0"
Vegas Line,Tampa Bay Buccaneers -8.0
Over/Under,42.0 (under)
