Unnamed: 0,SFO,TAM
First Downs,13,19
Rush-Yds-TDs,23-72-0,35-159-2
Cmp-Att-Yd-TD-INT,15-31-147-0-1,15-21-210-2-2
Sacked-Yards,5-22,2-17
Net Pass Yards,125,193
Total Yards,197,352
Fumbles-Lost,1-1,2-0
Turnovers,2,2
Penalties-Yards,4-30,5-50
Third Down Conv.,1-12,7-12
Fourth Down Conv.,1-1,0-0
Time of Possession,26:27,33:33
