Quarter,Time,Tm,Detail,SFO,TAM
1.0,11:43,Buccaneers,Michael Pittman 14 yard rush (Martin Gramatica kick),0,7
2.0,8:48,Buccaneers,Joe Jurevicius 9 yard pass from Brian Griese (Martin Gramatica kick),0,14
,0:17,Buccaneers,Joe Jurevicius 42 yard pass from Brian Griese (Martin Gramatica kick),0,21
3.0,9:55,Buccaneers,Michael Pittman 6 yard rush (Martin Gramatica kick),0,28
,2:13,49ers,Todd Peterson 47 yard field goal,3,28
4.0,8:13,Buccaneers,Torrie Cox 55 yard interception return (Martin Gramatica kick),3,35
