Quarter,Time,Down,ToGo,Location,KAN,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss, Panthers to receive the opening kickoff.",,
1,15:00,,,KAN 30,0,0,"Nick Novak kicks off 67 yards, returned by Jonathan Stewart for 19 yards (tackle by Devard Darling). Penalty on D.J. Hackett: Low Block, 11 yards",0.000,-0.370
1,14:52,1,10,CAR 11,0,0,DeAngelo Williams left end for 5 yards (tackle by Derrick O. Johnson),-0.370,-0.300
1,14:08,2,5,CAR 16,0,0,DeAngelo Williams up the middle for no gain (tackle by Glenn Dorsey),-0.300,-0.840
1,13:26,3,5,CAR 16,0,0,Jake Delhomme pass complete short left to Muhsin Muhammad for 14 yards (tackle by Brandon Carr). Penalty on Bernard Pollard: Illegal Contact (Declined),-0.840,0.940
1,12:59,1,10,CAR 30,0,0,DeAngelo Williams right end for 10 yards (tackle by Derrick O. Johnson and Jarrad Page),0.940,1.600
1,12:59,1,10,CAR 40,0,0,"Penalty on Keydrick Vincent: False Start, 5 yards (no play)",1.600,1.270
1,12:11,1,15,CAR 35,0,0,Jake Delhomme pass complete short right to Jeff King for 3 yards (tackle by Derrick O. Johnson),1.270,0.780
1,11:32,2,12,CAR 38,0,0,Jonathan Stewart right end for 3 yards (tackle by Derrick O. Johnson),0.780,0.500
1,10:49,3,9,CAR 41,0,0,Jake Delhomme pass incomplete deep left intended for Steve Smith,0.500,-0.650
1,10:30,4,9,CAR 41,0,0,"Jason Baker punts 49 yards, returned by Dantrell Savage for 8 yards (tackle by Landon Johnson)",-0.650,-0.040
1,10:30,1,10,KAN 18,0,0,"Penalty on Adrian Jones: False Start, 5 yards (no play)",0.040,-0.450
1,10:30,1,15,KAN 13,0,0,Larry Johnson right tackle for -2 yards (tackle by Thomas Davis),-0.450,-1.290
1,9:49,2,17,KAN 11,0,0,"Damon Huard sacked by Tyler Brayton for -6 yards. Damon Huard fumbles (forced by Tyler Brayton), recovered by Larry Johnson at KAN-3",-1.290,-3.180
1,9:06,,,,0,0,Timeout #1 by Kansas City Chiefs,0.000,-3.180
1,9:06,3,25,KAN 3,0,0,Damon Huard pass incomplete short right intended for Jamaal Charles (defended by Charles Johnson),-3.180,-2.490
