Unnamed: 0,KAN,CAR
First Downs,8,20
Rush-Yds-TDs,17-35-0,48-205-2
Cmp-Att-Yd-TD-INT,15-31-123-0-2,14-22-236-2-1
Sacked-Yards,3-31,0-0
Net Pass Yards,92,236
Total Yards,127,441
Fumbles-Lost,2-1,1-1
Turnovers,3,2
Penalties-Yards,4-35,8-56
Third Down Conv.,4-13,10-18
Fourth Down Conv.,0-2,1-2
Time of Possession,21:06,38:54
