Quarter,Time,Tm,Detail,CHI,PHI
1.0,1:01,Eagles,David Akers 24 yard field goal,0,3
2.0,4:08,Eagles,David Akers 33 yard field goal,0,6
,1:46,Bears,Robbie Gould 31 yard field goal,3,6
,0:22,Eagles,David Akers 37 yard field goal,3,9
3.0,8:04,Bears,Robbie Gould 22 yard field goal,6,9
4.0,14:52,Bears,Robbie Gould 41 yard field goal,9,9
,9:21,Bears,Robbie Gould 45 yard field goal,12,9
,4:57,Eagles,Matt Schobel 13 yard pass from Donovan McNabb (David Akers kick),12,16
,0:09,Bears,Muhsin Muhammad 15 yard pass from Brian Griese (Robbie Gould kick),19,16
