Unnamed: 0,CHI,PHI
First Downs,19,21
Rush-Yds-TDs,23-72-0,25-123-0
Cmp-Att-Yd-TD-INT,27-41-322-1-0,21-34-226-1-0
Sacked-Yards,1-8,3-15
Net Pass Yards,314,211
Total Yards,386,334
Fumbles-Lost,1-0,1-0
Turnovers,0,0
Penalties-Yards,7-51,5-32
Third Down Conv.,8-16,7-14
Fourth Down Conv.,0-0,0-0
Time of Possession,29:29,30:31
