Quarter,Time,Down,ToGo,Location,CHI,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,CHI 30,0,0,"Robbie Gould kicks off 69 yards, returned by Correll Buckhalter for 22 yards (tackle by Brandon McGowan)",0.000,0.480
1,14:55,1,10,PHI 23,0,0,Brian Westbrook right tackle for 9 yards (tackle by Hunter Hillenmeyer),0.480,1.150
1,14:18,2,1,PHI 32,0,0,Brian Westbrook right end for 6 yards (tackle by Trumaine McBride),1.150,1.470
1,13:35,1,10,PHI 38,0,0,Donovan McNabb pass incomplete short right intended for Hank Baskett,1.470,0.920
1,13:31,2,10,PHI 38,0,0,"Donovan McNabb pass complete short right to Matt Schobel for 8 yards (tackle by Trumaine McBride). Penalty on Brent Celek: Offensive Holding, 10 yards (no play)",0.920,-0.430
1,13:04,2,20,PHI 28,0,0,Donovan McNabb pass complete short left to Kevin Curtis for 10 yards (tackle by Charles Tillman),-0.430,0.230
1,12:20,3,10,PHI 38,0,0,Donovan McNabb pass incomplete deep left intended for Kevin Curtis,0.230,-0.850
1,12:14,4,10,PHI 38,0,0,Saverio Rocca punts 21 yards,-0.850,-1.660
1,12:08,1,10,CHI 41,0,0,Cedric Benson right tackle for 1 yard (tackle by Trent Cole),1.660,1.260
1,11:33,2,9,CHI 42,0,0,Cedric Benson up the middle for 3 yards (tackle by Mike Patterson),1.260,0.960
1,10:59,3,6,CHI 45,0,0,Brian Griese pass complete short right to Desmond Clark for 3 yards (tackle by Takeo Spikes),0.960,-0.190
1,10:24,4,3,CHI 48,0,0,"Brad Maynard punts 42 yards. Penalty on Reno Mahe: Personal Foul, 5 yards",-0.190,0.380
1,10:14,1,10,PHI 5,0,0,Brian Westbrook up the middle for 8 yards (tackle by Hunter Hillenmeyer),-0.380,-0.190
1,9:37,2,2,PHI 13,0,0,Brian Westbrook left guard for 2 yards (tackle by Brian Urlacher),-0.190,-0.220
1,8:51,1,10,PHI 15,0,0,Brian Westbrook right end for -1 yards (tackle by Brandon McGowan),-0.220,-0.820
1,8:10,2,11,PHI 14,0,0,Donovan McNabb pass complete short middle to Jason Avant for 8 yards (tackle by Brian Urlacher),-0.820,-0.510
1,7:29,3,3,PHI 22,0,0,Donovan McNabb pass complete deep right to Reggie Brown for 21 yards (tackle by Adam Archuleta),-0.510,1.800
1,7:12,1,10,PHI 43,0,0,Brian Westbrook up the middle for 2 yards (tackle by Brian Urlacher),1.800,1.520
1,6:41,2,8,PHI 45,0,0,Brian Westbrook left tackle for 7 yards (tackle by Anthony Adams),1.520,1.750
1,5:59,3,1,CHI 48,0,0,Brian Westbrook left end for 6 yards (tackle by Adam Archuleta),1.750,2.790
1,5:18,1,10,CHI 42,0,0,Donovan McNabb pass complete short right to Reggie Brown for 8 yards (tackle by Trumaine McBride),2.790,3.320
1,4:34,2,2,CHI 34,0,0,Correll Buckhalter up the middle for -1 yards (tackle by Mark Anderson),3.320,2.480
1,3:54,3,3,CHI 35,0,0,Correll Buckhalter right end for 15 yards (tackle by Danieal Manning),2.480,4.240
1,3:07,1,10,CHI 20,0,0,Donovan McNabb pass complete short left to Kevin Curtis for 10 yards (tackle by Brian Urlacher),4.240,4.910
1,2:28,1,10,CHI 10,0,0,Brian Westbrook up the middle for -3 yards (tackle by Adam Archuleta),4.910,3.720
1,1:49,2,13,CHI 13,0,0,Donovan McNabb pass complete short middle to Jason Avant for 7 yards (tackle by Brian Urlacher),3.720,4.040
1,1:09,3,6,CHI 6,0,0,Donovan McNabb pass incomplete short right intended for Reggie Brown (defended by Trumaine McBride),4.040,2.990
1,1:03,4,6,CHI 6,0,3,David Akers 24 yard field goal good,2.990,3.000
1,,,,PHI 30,0,3,"David Akers kicks off 45 yards, returned by Adrian Peterson for 2 yards (tackle by Joselio Hanson)",0.000,0.740
1,0:58,1,10,CHI 27,0,3,Brian Griese pass incomplete short right intended for Bernard Berrian (defended by Lito Sheppard),0.740,0.200
1,0:55,2,10,CHI 27,0,3,Cedric Benson up the middle for 9 yards (tackle by Quintin Mikell),0.200,0.700
1,0:20,3,1,CHI 36,0,3,Cedric Benson right guard for 6 yards (tackle by Chris Gocong),0.700,1.730
Quarter,Time,Down,ToGo,Location,CHI,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CHI 42,0,3,"Cedric Benson left end for no gain (tackle by Chris Gocong and Sean Considine). Penalty on John Tait: Offensive Holding, 10 yards (no play)",1.730,1.070
2,14:39,1,20,CHI 32,0,3,Brian Griese pass complete deep middle to Greg Olsen for 20 yards (tackle by Quintin Mikell),1.070,2.390
,,,,,,,"CHI challenged the fumble ruling, and the original play was overturned.",,
2,14:19,1,10,PHI 48,0,3,Cedric Benson up the middle for 7 yards (tackle by Sean Considine),2.390,2.790
2,13:43,2,3,PHI 41,0,3,Cedric Benson right end for 2 yards (tackle by Jevon Kearse),2.790,2.340
2,13:03,3,1,PHI 39,0,3,Cedric Benson left end for 2 yards (tackle by Takeo Spikes),2.340,3.120
2,12:30,1,10,PHI 37,0,3,Cedric Benson up the middle for 2 yards (tackle by Mike Patterson),3.120,2.840
2,11:51,2,8,PHI 35,0,3,Brian Griese pass incomplete deep left intended for Devin Hester (defended by Sheldon Brown),2.840,2.150
2,11:43,3,8,PHI 35,0,3,Brian Griese pass complete short left to Desmond Clark for 8 yards (tackle by Omar Gaither),2.150,3.780
2,11:05,1,10,PHI 27,0,3,Cedric Benson left end for 3 yards (tackle by Trent Cole),3.780,3.640
2,10:25,2,7,PHI 24,0,3,Brian Griese pass complete short left to Desmond Clark for 3 yards (tackle by Chris Gocong),3.640,3.340
