Unnamed: 0,NYG,WAS
First Downs,17,16
Rush-Yds-TDs,40-161-1,15-38-0
Cmp-Att-Yd-TD-INT,17-27-180-0-0,22-35-287-1-2
Sacked-Yards,1-9,4-41
Net Pass Yards,171,246
Total Yards,332,284
Fumbles-Lost,0-0,2-1
Turnovers,0,3
Penalties-Yards,5-42,5-42
Third Down Conv.,6-17,4-12
Fourth Down Conv.,0-1,0-0
Time of Possession,35:52,24:08
