Quarter,Time,Tm,Detail,NWE,JAX
2.0,13:19,Patriots,Stephen Gostkowski 48 yard field goal,3,0
,12:59,Jaguars,Maurice Jones-Drew 74 yard rush (Josh Scobee kick),3,7
,1:17,Patriots,Corey Dillon 1 yard rush (Stephen Gostkowski kick),10,7
3.0,11:24,Patriots,David Thomas 22 yard pass from Tom Brady (Stephen Gostkowski kick),17,7
,3:06,Jaguars,Maurice Jones-Drew 1 yard rush (Josh Scobee kick),17,14
4.0,4:36,Patriots,Laurence Maroney 27 yard rush (Stephen Gostkowski kick),24,14
,3:03,Jaguars,Matt Jones 33 yard pass from David Garrard (Josh Scobee kick),24,21
