Quarter,Time,Down,ToGo,Location,NWE,JAX,Detail,EPB,EPA
1,8:43,1,10,NWE 38,0,0,Corey Dillon left end for 8 yards (tackle by Brian Williams),1.470,2.000
1,8:00,2,2,NWE 46,0,0,Laurence Maroney left end for 1 yard (tackle by Bobby McCray),2.000,1.420
1,7:26,3,1,NWE 47,0,0,Tom Brady middle for 2 yards (tackle by Marcus Stroud),1.420,2.190
1,6:47,1,10,NWE 49,0,0,Tom Brady pass incomplete short right intended for Reche Caldwell,2.190,1.650
1,6:42,2,10,NWE 49,0,0,Tom Brady pass complete short right to Laurence Maroney for 6 yards (tackle by Rashean Mathis),1.650,1.750
1,6:09,3,4,JAX 45,0,0,Tom Brady pass incomplete deep right intended for Jabar Gaffney,1.750,0.270
,,,,,,,"JAX challenged the ruling, and the original play was overturned.",,
1,6:01,4,4,JAX 45,0,0,"Todd Sauerbrun punts 22 yards, fair catch by Alvin Pearman",0.270,-0.480
1,5:52,1,10,JAX 23,0,0,David Garrard pass complete short right to Maurice Jones-Drew for 5 yards (tackle by Rosevelt Colvin),0.480,0.610
1,5:21,2,5,JAX 28,0,0,David Garrard pass incomplete short right intended for Reggie Williams (defended by Asante Samuel),0.610,-0.100
1,5:14,3,5,JAX 28,0,0,Maurice Jones-Drew middle for 6 yards (tackle by Tully Banta-Cain),-0.100,1.200
1,4:42,1,10,JAX 34,0,0,Maurice Jones-Drew middle for 2 yards (tackle by Richard Seymour),1.200,0.930
1,4:05,2,8,JAX 36,0,0,Maurice Jones-Drew middle for no gain (tackle by Mike Wright),0.930,0.230
1,3:17,,,,0,0,Timeout #1 by New England Patriots,0.000,0.230
1,3:17,3,8,JAX 36,0,0,David Garrard pass complete short left to Maurice Jones-Drew for 6 yards (tackle by James Sanders),0.230,-0.590
1,2:40,4,2,JAX 42,0,0,Chris Hanson punts 27 yards,-0.590,-1.000
1,2:32,1,10,NWE 31,0,0,Tom Brady middle for 4 yards (tackle by Terry Cousin),1.000,1.000
1,1:56,2,6,NWE 35,0,0,Corey Dillon left end for 8 yards (tackle by Deon Grant),1.000,1.800
1,1:11,1,10,NWE 43,0,0,Tom Brady pass complete short right to Troy Brown for 6 yards (tackle by Rashean Mathis),1.800,2.060
1,0:44,2,4,NWE 49,0,0,"Laurence Maroney middle for 1 yard (tackle by John Henderson). Penalty on John Henderson: Face Mask (15 Yards), 15 yards",2.060,3.250
1,0:20,1,10,JAX 35,0,0,Tom Brady pass complete short left to David Thomas for 6 yards (tackle by Brian Williams),3.250,3.510
Quarter,Time,Down,ToGo,Location,NWE,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,JAX 29,0,0,Tom Brady pass complete short middle to Reche Caldwell for 3 yards (tackle by Brian Williams),3.510,3.200
2,14:25,3,1,JAX 26,0,0,Heath Evans middle for no gain (tackle by Bobby McCray),3.200,1.890
2,13:45,4,1,JAX 26,0,0,"Tom Brady middle for no gain (tackle by Daryl Smith). Penalty on Tom Brady: False Start, 5 yards (no play)",1.890,1.340
2,13:24,4,6,JAX 31,3,0,Stephen Gostkowski 48 yard field goal good,1.340,3.000
2,,,,NWE 30,3,0,"Stephen Gostkowski kicks off 66 yards, returned by Derrick Wimbush for 22 yards (tackle by Larry Izzo)",0.000,0.670
2,13:12,1,10,JAX 26,3,6,"Maurice Jones-Drew middle for 74 yards, touchdown",0.670,7.000
,,,,,,,"NWE challenged the ruling, and the play was upheld.",,
2,,,,NWE 2,3,7,Josh Scobee kicks extra point good,0.000,0.000
2,,,,JAX 30,3,7,"Josh Scobee kicks off 71 yards, returned by Ellis Hobbs for 24 yards (tackle by Kenneth Pettway)",0.000,0.480
2,12:54,1,10,NWE 23,3,7,Tom Brady pass complete short middle to Troy Brown for 19 yards (tackle by Deon Grant),0.480,1.730
2,12:18,1,10,NWE 42,3,7,Corey Dillon middle for -3 yards (tackle by Paul Spicer),1.730,0.780
2,11:39,,,,3,7,Timeout #3 by New England Patriots,0.000,0.780
2,11:39,2,13,NWE 39,3,7,Tom Brady pass complete short middle to Reche Caldwell for 2 yards (tackle by Daryl Smith),0.780,0.370
2,10:59,3,11,NWE 41,3,7,Tom Brady sacked by Paul Spicer for -7 yards,0.370,-1.110
2,10:29,4,18,NWE 34,3,7,"Todd Sauerbrun punts 40 yards, fair catch by Rashean Mathis. Penalty on Corey Mays: Offensive Holding, 10 yards (no play)",-1.110,-1.770
2,10:23,4,28,NWE 24,3,7,Todd Sauerbrun punts 37 yards,-1.770,-1.530
2,10:11,1,10,JAX 39,3,7,Maurice Jones-Drew middle for 3 yards (tackle by Mike Wright),1.530,1.390
2,9:32,2,7,JAX 42,3,7,David Garrard pass complete short right to Ernest Wilford for 3 yards (tackle by Asante Samuel and Rodney Harrison),1.390,1.090
2,8:50,3,4,JAX 45,3,7,David Garrard pass incomplete short middle intended for Reggie Williams,1.090,-0.390
2,8:44,4,4,JAX 45,3,7,Chris Hanson punts 37 yards,-0.390,-0.040
2,8:38,1,10,NWE 18,3,7,Tom Brady pass complete short right to Daniel Graham for 7 yards (tackle by Terry Cousin),0.040,0.550
2,8:03,2,3,NWE 25,3,7,Laurence Maroney middle for 4 yards (tackle by John Henderson),0.550,0.870
2,7:24,1,10,NWE 29,3,7,Tom Brady pass complete short right to Kevin Faulk for 6 yards (tackle by Terry Cousin),0.870,1.140
2,6:44,2,4,NWE 35,3,7,Tom Brady pass complete short right to Bam Childress for 5 yards (tackle by Clint Ingram),1.140,1.600
2,6:00,1,10,NWE 40,3,7,Tom Brady pass complete short right to Kevin Faulk for 6 yards (tackle by Daryl Smith),1.600,1.860
2,5:24,2,4,NWE 46,3,7,Laurence Maroney middle for 8 yards (tackle by John Henderson),1.860,2.520
2,4:47,1,10,JAX 46,3,7,Tom Brady pass complete short middle to Troy Brown for 8 yards (tackle by Rashean Mathis),2.520,3.060
2,4:10,2,2,JAX 38,3,7,Kevin Faulk middle for 4 yards (tackle by Bobby McCray),3.060,3.310
2,3:32,1,10,JAX 34,3,7,Tom Brady pass incomplete short middle intended for Kevin Faulk (defended by Paul Spicer),3.310,2.770
2,3:29,2,10,JAX 34,3,7,Tom Brady middle for 9 yards (tackle by Clint Ingram),2.770,3.270
2,2:43,3,1,JAX 25,3,7,"Tom Brady pass complete short left to Jabar Gaffney for 5 yards (tackle by Brian Williams). Penalty on Clint Ingram: Roughing the Passer, 10 yards",3.270,4.910
2,2:13,1,10,JAX 10,3,7,Kevin Faulk middle for 4 yards (tackle by Terry Cousin),4.910,4.950
2,1:57,2,6,JAX 6,3,7,Tom Brady middle for 5 yards (tackle by Clint Ingram),4.950,5.170
2,1:21,3,1,JAX 1,9,7,"Corey Dillon right end for 1 yard, touchdown",5.170,7.000
2,,,,JAX 2,10,7,Stephen Gostkowski kicks extra point good,0.000,0.000
2,,,,NWE 30,10,7,"Stephen Gostkowski kicks off 64 yards, returned by Derrick Wimbush for 19 yards (tackle by Eric Alexander)",0.000,0.610
2,1:11,1,10,JAX 25,10,7,David Garrard pass complete short right to Maurice Jones-Drew for 11 yards (tackle by James Sanders),0.610,1.330
2,1:03,,,,10,7,Timeout #1 by Jacksonville Jaguars,0.000,1.330
2,1:03,1,10,JAX 36,10,7,David Garrard pass complete short left to Maurice Jones-Drew for -1 yards (tackle by Tully Banta-Cain),1.330,0.660
2,0:54,,,,10,7,Timeout #2 by Jacksonville Jaguars,0.000,0.660
2,0:54,2,11,JAX 35,10,7,David Garrard pass complete short right to Reggie Williams for 2 yards (tackle by Asante Samuel),0.660,0.230
2,0:49,3,9,JAX 37,10,7,"Maurice Jones-Drew left end for 3 yards (tackle by Mike Vrabel). Penalty on Ernest Wilford: Illegal Block Above the , 10 yards",0.230,-0.690
2,0:42,3,16,JAX 30,10,7,Maurice Jones-Drew middle for 7 yards (tackle by Artrell Hawkins and Tedy Bruschi),-0.690,-0.910
Quarter,Time,Down,ToGo,Location,NWE,JAX,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,JAX 30,10,7,"Josh Scobee kicks off 69 yards, returned by Ellis Hobbs for 21 yards (tackle by David Richardson)",0.000,0.410
3,14:52,1,10,NWE 22,10,7,Tom Brady pass complete short right to Heath Evans for 1 yard (tackle by Marcus Stroud),0.410,0.000
3,14:08,2,9,NWE 23,10,7,Laurence Maroney middle for 5 yards (tackle by Marcus Stroud),0.000,-0.030
3,13:27,3,4,NWE 28,10,7,Tom Brady pass complete short right to Jabar Gaffney for 9 yards (tackle by Deon Grant),-0.030,1.400
3,12:40,1,10,NWE 37,10,7,Tom Brady pass complete short left to David Thomas for 36 yards (tackle by Brian Williams),1.400,3.780
3,12:10,1,10,JAX 27,10,7,Corey Dillon left end for 5 yards (tackle by Deon Grant),3.780,3.910
3,11:35,2,5,JAX 22,10,7,Tom Brady pass incomplete short right intended for Troy Brown,3.910,3.200
3,11:30,3,5,JAX 22,16,7,"Tom Brady pass complete deep middle to David Thomas for 22 yards, touchdown",3.200,7.000
,,,,,,,"JAX challenged the ruling, and the play was upheld.",,
3,,,,,16,7,"Penalty on Dan Koppen: False Start, 5 yards (no play)",0.000,0.000
3,,,,JAX 2,17,7,Stephen Gostkowski kicks extra point good,0.000,0.000
3,,,,NWE 30,17,7,"Stephen Gostkowski kicks off 77 yards, touchback",0.000,0.280
3,11:24,1,10,JAX 20,17,7,David Garrard pass incomplete short middle intended for Maurice Jones-Drew (defended by Tedy Bruschi),0.280,-0.270
3,11:18,2,10,JAX 20,17,7,Maurice Jones-Drew middle for 1 yard (tackle by Tully Banta-Cain),-0.270,-0.820
3,10:33,3,9,JAX 21,17,7,David Garrard pass complete deep middle to Matt Jones for 24 yards (tackle by Chad Scott),-0.820,1.930
3,9:51,1,10,JAX 45,17,7,David Garrard pass complete deep left to George Wrighster for 17 yards (tackle by Artrell Hawkins),1.930,3.050
3,9:10,1,10,NWE 38,17,7,Maurice Jones-Drew middle for -1 yards (tackle by Artrell Hawkins),3.050,2.370
3,8:29,2,11,NWE 39,17,7,David Garrard middle for 4 yards (tackle by Tully Banta-Cain),2.370,2.210
3,7:42,3,7,NWE 35,17,7,David Garrard pass incomplete short right intended for Maurice Jones-Drew,2.210,0.970
3,7:35,4,7,NWE 35,17,7,Josh Scobee 53 yard field goal no good,0.970,-1.800
3,7:31,1,10,NWE 43,17,7,Tom Brady middle for 3 yards,1.800,1.660
3,6:47,2,7,NWE 46,17,7,Tom Brady pass complete short middle to Daniel Graham for 19 yards (tackle by Gerald Sensabaugh),1.660,3.250
3,6:06,1,10,JAX 35,17,7,Tom Brady pass complete short right to Reche Caldwell for 7 yards (tackle by Rashean Mathis),3.250,3.650
3,5:39,2,3,JAX 28,17,7,Tom Brady pass complete short left to Bam Childress for 2 yards (tackle by Terry Cousin),3.650,3.200
3,4:52,,,,17,7,Timeout #1 by New England Patriots,0.000,3.200
3,4:52,3,1,JAX 26,17,7,"Penalty on Daniel Graham: False Start, 5 yards (no play)",3.200,2.540
3,4:52,3,6,JAX 31,17,7,Tom Brady pass incomplete short left intended for Troy Brown,2.540,1.340
3,4:48,4,6,JAX 31,17,7,Stephen Gostkowski 49 yard field goal no good,1.340,-1.530
3,4:43,1,10,JAX 39,17,7,Maurice Jones-Drew middle for 3 yards (tackle by Ty Warren),1.530,1.390
3,4:07,2,7,JAX 42,17,7,"David Garrard pass incomplete short middle intended for Ernest Wilford is intercepted by Mike Vrabel at JAX-42. Penalty on Richard Seymour: Roughing the Passer, 15 yards (no play)",1.390,2.720
3,4:00,1,10,NWE 43,17,7,David Garrard pass complete deep left to Ernest Wilford for 41 yards (tackle by Asante Samuel),2.720,6.740
3,3:26,1,2,NWE 2,17,7,"Maurice Jones-Drew middle for 1 yard (tackle by Mike Vrabel). Penalty on Ellis Hobbs: Defensive Offside, 1 yards (no play)",6.740,6.970
3,3:12,1,1,NWE 1,17,13,"Maurice Jones-Drew middle for 1 yard, touchdown",6.970,7.000
3,,,,NWE 2,17,14,Josh Scobee kicks extra point good,0.000,0.000
3,,,,JAX 30,17,14,"Josh Scobee kicks off 75 yards, returned by Ellis Hobbs for 38 yards (tackle by Rashean Mathis)",0.000,1.140
3,2:56,1,10,NWE 33,17,14,Tom Brady pass complete short left to David Thomas for 4 yards (tackle by Terry Cousin),1.140,1.130
3,2:19,2,6,NWE 37,17,14,"Tom Brady pass incomplete short right intended for David Thomas. Penalty on Nick Kaczur: Offensive Holding, 10 yards (no play)",1.130,-0.220
3,2:12,2,16,NWE 27,17,14,Tom Brady pass complete short middle to David Thomas for 15 yards (tackle by Jamaal Fudge),-0.220,1.090
3,1:36,3,1,NWE 42,17,14,Corey Dillon left tackle for 8 yards (tackle by Nick Greisen),1.090,2.260
3,1:01,1,10,JAX 50,17,14,Tom Brady pass complete to Laurence Maroney for 4 yards (tackle by Marcellus Wiley),2.260,2.250
3,0:20,2,6,JAX 46,17,14,Corey Dillon middle for 3 yards (tackle by Clint Ingram),2.250,1.950
Quarter,Time,Down,ToGo,Location,NWE,JAX,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,3,JAX 43,17,14,Tom Brady pass complete short left to Chad Jackson for -2 yards (tackle by Gerald Sensabaugh),1.950,0.270
4,14:25,4,5,JAX 45,17,14,"Todd Sauerbrun punts 35 yards, muffed catch by Alvin Pearman, recovered by Alvin Pearman and returned for no gain",0.270,0.380
4,14:16,1,10,JAX 10,17,14,Maurice Jones-Drew middle for 2 yards (tackle by Tedy Bruschi),-0.380,-0.630
4,13:46,2,8,JAX 12,17,14,Maurice Jones-Drew middle for 6 yards (tackle by Ty Warren),-0.630,-0.480
4,13:01,3,2,JAX 18,17,14,David Garrard pass complete short left to Matt Jones for 5 yards (tackle by Tedy Bruschi),-0.480,0.480
4,12:30,1,10,JAX 23,17,14,Maurice Jones-Drew middle for no gain (tackle by Mike Wright),0.480,-0.070
4,11:51,2,10,JAX 23,17,14,David Garrard right end for 7 yards (tackle by Rodney Harrison),-0.070,0.170
4,11:08,,,,17,14,Timeout #2 by Jacksonville Jaguars,0.000,0.170
4,11:08,3,3,JAX 30,17,14,Maurice Jones-Drew middle for no gain (tackle by Ty Warren),0.170,-1.370
4,10:41,4,3,JAX 30,17,14,"Chris Hanson punts 51 yards, returned by Kevin Faulk for 12 yards (tackle by Brian Iwuh)",-1.370,-1.000
4,10:29,1,10,NWE 31,17,14,Tom Brady pass complete short middle to Jabar Gaffney for 12 yards (tackle by Gerald Sensabaugh),1.000,1.800
4,9:42,1,10,NWE 43,17,14,Tom Brady pass incomplete short right intended for Reche Caldwell,1.800,1.250
4,9:37,2,10,NWE 43,17,14,Tom Brady pass incomplete short left intended for Reche Caldwell,1.250,0.560
4,9:32,3,10,NWE 43,17,14,Tom Brady pass incomplete short left intended for Troy Brown,0.560,-0.520
4,9:27,4,10,NWE 43,17,14,"Todd Sauerbrun punts 39 yards, returned by Rashean Mathis for no gain",-0.520,-0.040
4,9:18,1,10,JAX 18,17,14,David Garrard pass incomplete short left intended for George Wrighster (defended by Richard Seymour),0.040,-0.490
4,9:13,2,10,JAX 18,17,14,David Garrard pass incomplete short left intended for Maurice Jones-Drew,-0.490,-1.170
4,9:05,3,10,JAX 18,17,14,David Garrard pass complete short right to Reggie Williams for 7 yards (tackle by Rodney Harrison),-1.170,-1.700
4,8:32,4,3,JAX 25,17,14,"Chris Hanson punts 43 yards, fair catch by Kevin Faulk",-1.700,-1.070
4,8:25,1,10,NWE 32,17,14,Corey Dillon middle for 1 yard (tackle by Rob Meier),1.070,0.660
4,7:46,2,9,NWE 33,17,14,Tom Brady pass complete short left to Reche Caldwell for 3 yards (tackle by Jamaal Fudge),0.660,0.370
4,7:07,3,6,NWE 36,17,14,Tom Brady left end for 7 yards (tackle by Clint Ingram),0.370,1.800
4,6:36,1,10,NWE 43,17,14,"Corey Dillon left end for no gain (tackle by Brian Williams). Penalty on JAX: Defensive 12 On-field, 5 yards (no play)",1.800,2.530
4,6:16,1,5,NWE 48,17,14,Tom Brady pass complete deep middle to Daniel Graham for 18 yards (tackle by Jamaal Fudge),2.530,3.310
4,5:31,1,10,JAX 34,17,14,Laurence Maroney left tackle for 2 yards (tackle by Daryl Smith),3.310,3.040
4,5:31,2,8,JAX 32,17,14,"Laurence Maroney right end for no gain (tackle by Marcellus Wiley). Penalty on Bobby McCray: Defensive Offside, 5 yards (no play)",3.040,3.720
4,4:42,2,3,JAX 27,23,14,"Laurence Maroney left end for 27 yards, touchdown",3.720,7.000
4,,,,JAX 2,24,14,Stephen Gostkowski kicks extra point good,0.000,0.000
4,,,,NWE 30,24,14,Stephen Gostkowski kicks off 30 yards,0.000,1.600
4,4:36,1,10,JAX 40,24,14,David Garrard pass complete short middle to Kyle Brady for 4 yards (tackle by Tully Banta-Cain),1.600,1.590
4,4:00,2,6,JAX 44,24,14,"David Garrard for 6 yards (tackle by Rodney Harrison). Penalty on Chris Naeole: Offensive Holding, 10 yards (no play)",1.590,0.240
4,3:52,2,16,JAX 34,24,14,Maurice Jones-Drew middle for 13 yards (tackle by Ellis Hobbs),0.240,1.290
4,3:24,3,3,JAX 47,24,14,David Garrard pass complete short left to George Wrighster for 11 yards (tackle by Mike Vrabel). Penalty on Rodney Harrison: Defensive Offside (Declined),1.290,2.790
4,3:19,1,10,NWE 42,24,14,David Garrard pass complete short left to Maurice Jones-Drew for 9 yards (tackle by Ellis Hobbs),2.790,3.460
4,3:12,2,1,NWE 33,24,20,"David Garrard pass complete short left to Matt Jones for 33 yards, touchdown",3.460,7.000
4,,,,NWE 2,24,21,Josh Scobee kicks extra point good,0.000,0.000
4,,,,JAX 30,24,21,"Josh Scobee kicks off 65 yards, returned by Laurence Maroney for 9 yards (tackle by Brian Iwuh)",0.000,-0.280
4,2:56,1,10,NWE 14,24,21,Corey Dillon left end for 3 yards (tackle by Tony Gilbert),-0.280,-0.370
4,2:12,2,7,NWE 17,24,21,Corey Dillon right end for -4 yards (tackle by Bobby McCray),-0.370,-1.530
4,2:07,,,,24,21,Timeout #3 by Jacksonville Jaguars,0.000,-1.530
4,2:07,3,11,NWE 13,24,21,Tom Brady pass incomplete short left intended for Troy Brown,-1.530,-2.490
4,2:02,4,11,NWE 13,24,21,"Todd Sauerbrun punts 42 yards, fair catch by Rashean Mathis",-2.490,-1.930
4,1:55,1,10,JAX 45,24,21,"David Garrard sacked by Jarvis Green for -1 yards. David Garrard fumbles (forced by Jarvis Green), recovered by Rodney Harrison at JAX-46 (tackle by Reggie Williams)",1.930,-2.520
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
4,1:46,1,10,JAX 46,24,21,Tom Brady kneels for -1 yards,2.520,1.840
4,1:05,2,11,JAX 47,24,21,Tom Brady kneels for -1 yards,1.840,1.030
4,0:31,3,12,JAX 48,24,21,Tom Brady kneels for -1 yards,1.030,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
