Unnamed: 0,NWE,JAX
First Downs,22,12
Rush-Yds-TDs,30-117-2,22-144-2
Cmp-Att-Yd-TD-INT,28-39-249-1-0,17-23-195-1-0
Sacked-Yards,1-7,1-0
Net Pass Yards,242,195
Total Yards,359,339
Fumbles-Lost,0-0,2-1
Turnovers,0,1
Penalties-Yards,7-51,7-60
Third Down Conv.,8-16,5-12
Fourth Down Conv.,0-0,0-0
Time of Possession,37:13,22:47
