Unnamed: 0,TEN,MIN
First Downs,23,22
Rush-Yds-TDs,34-134-2,33-226-1
Cmp-Att-Yd-TD-INT,23-37-321-0-1,16-27-251-3-2
Sacked-Yards,2-11,2-13
Net Pass Yards,310,238
Total Yards,444,464
Fumbles-Lost,2-0,2-1
Turnovers,1,3
Penalties-Yards,4-45,3-20
Third Down Conv.,3-13,4-10
Fourth Down Conv.,1-1,0-1
Time of Possession,31:32,28:28
