Quarter,Time,Down,ToGo,Location,TEN,MIN,Detail,EPB,EPA
1,10:18,1,10,TEN 29,3,0,Derrick Henry left end for 3 yards (tackle by Hardy Nickerson),0.870,0.730
1,9:41,2,7,TEN 32,3,0,Ryan Tannehill right end for 10 yards (tackle by Eric Kendricks),0.730,1.730
1,8:59,1,10,TEN 42,3,0,Derrick Henry right end for no gain (tackle by Shamar Stephen),1.730,1.190
1,8:23,2,10,TEN 42,3,0,Ryan Tannehill pass incomplete short right intended for Jonnu Smith,1.190,0.500
1,8:18,3,10,TEN 42,3,0,"Ryan Tannehill aborted snap, recovered by Ryan Tannehill at TEN-23 and returned for -19 yards",0.500,-1.830
1,7:43,4,29,TEN 23,3,0,"Brett Kern punts 44 yards, fair catch by Chad Beebe at MIN-33",-1.830,-1.140
1,7:37,1,10,MIN 33,3,0,Dalvin Cook up the middle for 9 yards (tackle by Jayon Brown and Harold Landry),1.140,1.810
1,7:03,2,1,MIN 42,3,0,"Dalvin Cook right end for 3 yards (tackle by Johnathan Joseph). Dalvin Cook fumbles (forced by Johnathan Joseph), recovered by Rashaan Evans at MIN-45 and returned for 25 yards (tackle by C.J. Ham)",1.810,-4.240
1,6:53,1,10,MIN 20,3,0,Derrick Henry right end for 7 yards (tackle by Jeff Gladney),4.240,4.830
1,6:13,2,3,MIN 13,3,0,Ryan Tannehill pass incomplete short right intended for Jonnu Smith,4.830,4.100
1,6:09,,,,,,Timeout #1 by Minnesota Vikings,,
1,6:09,3,3,MIN 13,3,0,Ryan Tannehill pass incomplete short left intended for Adam Humphries,4.100,2.670
1,6:04,4,3,MIN 13,6,0,Stephen Gostkowski 31 yard field goal good,2.670,3.000
1,6:01,,,TEN 35,6,0,"Stephen Gostkowski kicks off 63 yards, returned by Ameer Abdullah for 22 yards (tackle by Joshua Kalu)",0.000,0.540
1,5:56,1,10,MIN 24,6,0,Kirk Cousins pass incomplete short right intended for Kyle Rudolph (defended by Harold Landry),0.540,0.000
1,5:49,2,10,MIN 24,6,0,Dalvin Cook left guard for 11 yards (tackle by Jayon Brown and Kevin Byard),0.000,1.270
1,5:12,1,10,MIN 35,6,0,Adam Thielen left end for 4 yards (tackle by Kenny Vaccaro),1.270,1.260
1,4:43,2,6,MIN 39,6,0,Kirk Cousins pass complete short left to Justin Jefferson for 11 yards (tackle by Jayon Brown),1.260,2.260
1,4:05,1,10,MIN 50,6,0,Alexander Mattison up the middle for 2 yards (tackle by Johnathan Joseph),2.260,1.980
1,3:30,2,8,TEN 48,6,0,Kirk Cousins pass complete short left to Justin Jefferson for 9 yards (tackle by Malcolm Butler),1.980,2.980
1,2:51,1,10,TEN 39,6,6,"Dalvin Cook right tackle for 39 yards, touchdown",2.980,7.000
1,2:43,,,TEN 15,6,7,Dan Bailey kicks extra point good,0.000,0.000
1,2:43,,,MIN 35,6,7,"Dan Bailey kicks off 66 yards, returned by Kalif Raymond for 30 yards (tackle by George Iloka)",0.000,0.870
1,2:37,1,10,TEN 29,6,7,Ryan Tannehill pass complete short middle to Kalif Raymond for 13 yards (tackle by Anthony Harris),0.870,1.730
1,2:08,1,10,TEN 42,6,7,Darrynton Evans up the middle for 4 yards (tackle by Jalyn Holmes),1.730,1.730
1,1:34,2,6,TEN 46,6,7,Ryan Tannehill pass complete short left to MyCole Pruitt for 10 yards (tackle by Holton Hill),1.730,2.650
1,1:02,1,10,MIN 44,6,7,Darrynton Evans left tackle for 2 yards (tackle by Jaleel Johnson),2.650,2.380
1,0:32,2,8,MIN 42,6,7,Derrick Henry up the middle for 4 yards (tackle by Jaleel Johnson),2.380,2.210
1,0:07,3,4,MIN 38,6,7,Ryan Tannehill pass complete short left to Corey Davis for 9 yards (tackle by Holton Hill),2.210,3.640
Quarter,Time,Down,ToGo,Location,TEN,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,MIN 29,6,7,Ryan Tannehill pass deep left intended for Nick Westbrook-Ikhine is intercepted by Harrison Smith at MIN-0 and returned for 16 yards,3.640,0.350
2,14:48,1,10,MIN 12,6,7,Kirk Cousins pass complete short middle to Justin Jefferson for 12 yards (tackle by Johnathan Joseph),-0.350,0.540
2,14:15,1,10,MIN 24,6,7,Dalvin Cook right guard for 3 yards (tackle by Harold Landry),0.540,0.400
2,13:40,2,7,MIN 27,6,7,Kirk Cousins pass complete short left to Justin Jefferson for 8 yards (tackle by Malcolm Butler),0.400,1.270
2,13:05,1,10,MIN 35,6,7,Dalvin Cook right end for 1 yard (tackle by Johnathan Joseph),1.270,0.860
2,12:19,2,9,MIN 36,6,7,Kirk Cousins pass complete short left to Adam Thielen for 6 yards (tackle by Kenny Vaccaro),0.860,0.960
2,11:35,3,3,MIN 42,6,7,Dalvin Cook left end for 4 yards (tackle by Amani Hooker),0.960,1.990
2,11:10,1,10,MIN 46,6,7,Kirk Cousins pass complete short middle to Dalvin Cook for 3 yards (tackle by Rashaan Evans),1.990,1.860
2,10:35,2,7,MIN 49,6,7,Alexander Mattison left tackle for 4 yards (tackle by Jayon Brown),1.860,1.690
2,9:51,3,3,TEN 47,6,7,Kirk Cousins pass complete deep left to Justin Jefferson for 31 yards (tackle by Malcolm Butler),1.690,4.510
2,9:04,1,10,TEN 16,6,13,"Kirk Cousins pass complete deep right to Adam Thielen for 16 yards, touchdown",4.510,7.000
2,8:56,,,TEN 15,6,14,Dan Bailey kicks extra point good,0.000,0.000
2,8:56,,,MIN 35,6,14,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
2,8:56,1,10,TEN 25,6,14,Derrick Henry left tackle for 9 yards (tackle by D.J. Wonnum),0.610,1.280
2,8:17,2,1,TEN 34,6,14,Derrick Henry left end for 1 yard (tackle by Eric Kendricks),1.280,1.270
2,7:43,1,10,TEN 35,6,14,Derrick Henry left tackle for -3 yards (tackle by Yannick Ngakoue),1.270,0.320
2,7:04,2,13,TEN 32,6,14,Ryan Tannehill pass incomplete short right intended for Jonnu Smith,0.320,-0.360
2,7:00,3,13,TEN 32,6,14,Ryan Tannehill pass complete short left to Adam Humphries for 12 yards (tackle by Holton Hill),-0.360,-0.460
2,6:41,4,1,TEN 44,6,14,Derrick Henry up the middle for 1 yard (tackle by Anthony Harris),-0.460,1.930
2,6:07,1,10,TEN 45,6,14,Derrick Henry right end for 16 yards (tackle by Eric Kendricks),1.930,2.980
2,5:38,1,10,MIN 39,6,14,Ryan Tannehill pass complete short right to Adam Humphries for 23 yards (tackle by Jeff Gladney),2.980,4.510
2,5:19,1,10,MIN 16,6,14,Derrick Henry right end for 2 yards (tackle by D.J. Wonnum and Eric Kendricks),4.510,4.210
2,4:40,2,8,MIN 14,6,14,Kalif Raymond left end for -3 yards (tackle by Harrison Smith and Eric Wilson),4.210,3.020
2,3:57,3,11,MIN 17,6,14,Ryan Tannehill pass complete short left to Jeremy McNichols for 5 yards (tackle by Todd Davis),3.020,2.660
2,3:22,4,6,MIN 12,9,14,Stephen Gostkowski 30 yard field goal good,2.660,3.000
2,3:18,,,TEN 35,9,14,"Stephen Gostkowski kicks off 65 yards, touchback.",0.000,0.610
2,3:18,1,10,MIN 25,9,14,Dalvin Cook right guard for 1 yard (tackle by DaQuan Jones),0.610,0.200
2,2:44,2,9,MIN 26,9,14,Kirk Cousins pass complete short right to Justin Jefferson for 33 yards (tackle by Jayon Brown),0.200,2.850
2,2:17,1,10,TEN 41,9,14,Kirk Cousins pass complete short left to Dalvin Cook for 15 yards (tackle by Rashaan Evans),2.850,3.840
2,2:00,1,10,TEN 26,9,14,Kirk Cousins pass incomplete deep left intended for Justin Jefferson (defended by Malcolm Butler),3.840,3.300
2,1:55,2,10,TEN 26,9,14,Dalvin Cook right guard for 3 yards (tackle by Jeffery Simmons and Rashaan Evans),3.300,3.010
2,1:50,,,,,,Timeout #1 by Tennessee Titans,,
2,1:50,3,7,TEN 23,9,14,Kirk Cousins pass incomplete deep left intended for Adam Thielen (defended by Malcolm Butler),3.010,1.930
2,1:45,4,7,TEN 23,9,17,Dan Bailey 41 yard field goal good,1.930,3.000
2,1:41,,,MIN 35,9,17,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
2,1:41,1,10,TEN 25,9,17,Ryan Tannehill pass complete short right to Corey Davis for 6 yards (tackle by Kris Boyd),0.610,0.870
2,1:24,2,4,TEN 31,9,17,Ryan Tannehill pass complete short middle to Derrick Henry for 5 yards (tackle by Eric Wilson and Eric Kendricks),0.870,1.330
2,1:05,1,10,TEN 36,9,17,Ryan Tannehill pass incomplete short right,1.330,0.790
2,0:58,2,10,TEN 36,9,17,Ryan Tannehill pass complete short left to Adam Humphries for 5 yards (tackle by Anthony Harris),0.790,0.760
2,0:38,3,5,TEN 41,9,17,Ryan Tannehill pass incomplete short middle intended for Adam Humphries (defended by Anthony Harris),0.760,-0.650
2,0:34,4,5,TEN 41,9,17,"Brett Kern punts 59 yards, touchback.",-0.650,-0.280
2,0:24,1,10,MIN 20,9,17,Alexander Mattison left tackle for 3 yards (tackle by Jeffery Simmons),0.280,0.140
2,0:19,,,,,,Timeout #2 by Tennessee Titans,,
2,0:19,2,7,MIN 23,9,17,Alexander Mattison up the middle for -2 yards (tackle by Jadeveon Clowney),0.140,-0.820
Quarter,Time,Down,ToGo,Location,TEN,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TEN 35,9,17,"Stephen Gostkowski kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,MIN 25,9,17,"Kirk Cousins pass short right intended for Justin Jefferson is intercepted by Johnathan Joseph at MIN-31 and returned for 5 yards. Penalty on Jadeveon Clowney: Illegal Blindside Block, 15 yards",0.610,-2.850
3,14:54,1,10,MIN 41,9,17,Derrick Henry right end for no gain (tackle by Ifeadi Odenigbo),2.850,2.310
3,14:16,2,10,MIN 41,9,17,Ryan Tannehill pass incomplete short right. Penalty on Dennis Kelly: Offensive Holding (Declined),2.310,1.620
3,14:09,3,10,MIN 41,9,17,"Ryan Tannehill sacked by Yannick Ngakoue for -11 yards. Ryan Tannehill fumbles (forced by Yannick Ngakoue), recovered by Ty Sambrailo at TEN-48 (tackle by Eric Wilson)",1.620,-0.190
3,13:35,4,21,TEN 48,9,17,"Brett Kern punts 40 yards, fair catch by Chad Beebe at MIN-12",-0.190,0.350
3,13:29,1,10,MIN 12,9,17,Dalvin Cook left end for 12 yards (tackle by Kenny Vaccaro),-0.350,0.540
3,13:00,1,10,MIN 24,9,17,Dalvin Cook right guard for 5 yards (tackle by Rashaan Evans and Harold Landry),0.540,0.670
3,12:23,2,5,MIN 29,9,17,Alexander Mattison up the middle for 4 yards (tackle by DaQuan Jones),0.670,0.500
3,11:42,3,1,MIN 33,9,17,Dalvin Cook left end for 39 yards (tackle by Malcolm Butler),0.500,3.710
3,11:08,1,10,TEN 28,9,17,Kirk Cousins pass incomplete short right,3.710,3.170
3,11:03,2,10,TEN 28,9,17,Dalvin Cook right end for -3 yards (tackle by Johnathan Joseph),3.170,2.080
3,10:29,3,13,TEN 31,9,17,Kirk Cousins pass incomplete short left,2.080,1.320
3,10:24,4,13,TEN 31,9,17,"Penalty on Rashod Hill: False Start, 5 yards (no play)",1.320,0.880
3,10:24,4,18,TEN 36,9,17,"Dan Bailey yard field goal no good blocked by Joshua Kalu, recovered by Tye Smith. Penalty on Joshua Kalu: Defensive Offside, 5 yards (no play)",0.880,1.320
3,10:19,4,13,TEN 31,9,17,Dan Bailey 49 yard field goal no good,1.320,-1.530
3,10:15,1,10,TEN 39,9,17,Ryan Tannehill pass complete deep middle to Jonnu Smith for 21 yards (tackle by Harrison Smith),1.530,2.920
3,9:37,1,10,MIN 40,9,17,Derrick Henry right end for 7 yards (tackle by Harrison Smith),2.920,3.320
3,9:11,2,3,MIN 33,9,17,Ryan Tannehill pass incomplete short middle,3.320,2.610
3,9:07,3,3,MIN 33,9,17,Ryan Tannehill pass incomplete short left intended for Derrick Henry (defended by Eric Kendricks),2.610,1.190
3,9:02,4,3,MIN 33,12,17,Stephen Gostkowski 51 yard field goal good,1.190,3.000
3,8:57,,,TEN 35,12,17,"Stephen Gostkowski kicks off 63 yards, returned by Ameer Abdullah for 25 yards (tackle by Christopher Milton)",0.000,0.740
3,8:52,1,10,MIN 27,12,17,Dalvin Cook right tackle for 2 yards (tackle by Harold Landry),0.740,0.470
3,8:17,2,8,MIN 29,12,23,"Kirk Cousins pass complete deep right to Justin Jefferson for 71 yards, touchdown",0.470,7.000
3,8:04,,,TEN 15,12,24,Dan Bailey kicks extra point good,0.000,0.000
3,8:04,,,MIN 35,12,24,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
3,8:04,1,10,TEN 25,12,24,Derrick Henry left end for 12 yards (tackle by Harrison Smith and Holton Hill),0.610,1.400
3,7:31,1,10,TEN 37,12,24,Ryan Tannehill pass complete short left to MyCole Pruitt for 6 yards (tackle by Eric Wilson),1.400,1.670
3,6:55,2,4,TEN 43,12,24,Derrick Henry left tackle for 5 yards (tackle by Eric Wilson),1.670,2.130
3,6:21,1,10,TEN 48,12,24,Derrick Henry left tackle for 6 yards (tackle by Eric Kendricks and Jalyn Holmes),2.130,2.390
3,5:48,2,4,MIN 46,12,24,Ryan Tannehill pass complete short middle to Corey Davis for 38 yards (tackle by Anthony Harris),2.390,5.370
3,5:14,1,8,MIN 8,12,24,Derrick Henry up the middle for 5 yards (tackle by Eric Wilson and Harrison Smith),5.370,5.530
3,4:38,2,3,MIN 3,12,24,Derrick Henry up the middle for 2 yards (tackle by Ifeadi Odenigbo),5.530,5.170
3,3:56,3,1,MIN 1,18,24,"Derrick Henry up the middle for 1 yard, touchdown",5.170,7.000
3,3:53,,,MIN 15,19,24,Stephen Gostkowski kicks extra point good,0.000,0.000
3,3:53,,,TEN 35,19,24,"Stephen Gostkowski kicks off 65 yards, touchback.",0.000,0.610
3,3:53,1,10,MIN 25,19,24,Kirk Cousins pass incomplete short right intended for C.J. Ham,0.610,0.060
3,3:50,2,10,MIN 25,19,24,Alexander Mattison left tackle for no gain (tackle by Jayon Brown),0.060,-0.620
3,3:19,3,10,MIN 25,19,24,Kirk Cousins pass complete short right to Chad Beebe for 7 yards (tackle by Johnathan Joseph),-0.620,-1.240
3,2:46,4,3,MIN 32,19,24,"Britton Colquitt punts 33 yards, fair catch by Kalif Raymond at TEN-35",-1.240,-1.270
3,2:39,1,10,TEN 35,19,24,Ryan Tannehill pass complete deep middle to Kalif Raymond for 61 yards (tackle by Jeff Gladney),1.270,6.280
3,2:03,1,4,MIN 4,19,24,Derrick Henry up the middle for 3 yards (tackle by Harrison Smith and Eric Kendricks),6.280,5.910
3,1:24,2,1,MIN 1,25,24,"Derrick Henry up the middle for 1 yard, touchdown",5.910,7.000
3,1:22,,,MIN 2,25,24,"Two Point Attempt: Ryan Tannehill pass incomplete intended for Jonnu Smith, conversion fails",1.000,-1.000
3,1:22,,,TEN 35,25,24,"Stephen Gostkowski kicks off 65 yards, touchback.",0.000,0.610
3,1:22,1,10,MIN 25,25,24,Dalvin Cook right end for 13 yards (tackle by Jayon Brown),0.610,1.470
3,0:44,1,10,MIN 38,25,24,Dalvin Cook left guard for 1 yard (tackle by Harold Landry),1.470,1.060
Quarter,Time,Down,ToGo,Location,TEN,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,9,MIN 39,25,24,Kirk Cousins up the middle for 14 yards (tackle by Jadeveon Clowney and Jeffery Simmons),1.060,2.460
4,14:19,1,10,TEN 47,25,24,Kirk Cousins pass complete short right to C.J. Ham for 11 yards (tackle by Johnathan Joseph),2.460,3.180
4,13:36,1,10,TEN 36,25,24,Dalvin Cook right tackle for 6 yards (tackle by Rashaan Evans and Kevin Byard),3.180,3.450
4,12:55,2,4,TEN 30,25,24,Dalvin Cook left guard for 1 yard (tackle by Jack Crawford),3.450,2.870
4,12:14,,,,,,Timeout #2 by Minnesota Vikings,,
4,12:14,3,3,TEN 29,25,24,Dalvin Cook up the middle for 10 yards (tackle by Kevin Byard and Kenny Vaccaro),2.870,4.310
4,11:40,1,10,TEN 19,25,24,Alexander Mattison right tackle for 15 yards (tackle by Rashaan Evans),4.310,6.280
4,11:07,1,4,TEN 4,25,24,Alexander Mattison left tackle for 1 yard (tackle by Jeffery Simmons),6.280,5.530
4,10:22,2,3,TEN 3,25,30,"Kirk Cousins pass complete short middle to Kyle Rudolph for 3 yards, touchdown, touchdown",5.530,7.000
4,10:17,,,TEN 2,25,30,"Two Point Attempt: Kirk Cousins pass incomplete intended for Adam Thielen, conversion fails",1.000,-1.000
4,10:17,,,MIN 35,25,30,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
4,10:17,1,10,TEN 25,25,30,Derrick Henry right end for 5 yards (tackle by Anthony Harris),0.610,0.740
4,9:40,2,5,TEN 30,25,30,Ryan Tannehill pass complete short middle to Derrick Henry for 6 yards (tackle by Eric Kendricks). Penalty on Kris Boyd: Illegal Contact (Declined),0.740,1.330
4,9:28,1,10,TEN 36,25,30,Derrick Henry up the middle for 12 yards (tackle by Harrison Smith and Hardy Nickerson),1.330,2.130
4,8:55,1,10,TEN 48,25,30,Derrick Henry left end for 5 yards (tackle by Jaleel Johnson and Holton Hill),2.130,2.260
4,8:17,2,5,MIN 47,25,30,Darrynton Evans right end for 3 yards (tackle by Harrison Smith),2.260,1.950
4,7:54,3,2,MIN 44,25,30,Ryan Tannehill pass complete short right to Corey Davis for 8 yards (tackle by Jeff Gladney),1.950,3.180
4,7:24,1,10,MIN 36,25,30,Adam Humphries sacked by Eric Wilson for no gain,3.180,2.640
4,6:45,2,10,MIN 36,25,30,Ryan Tannehill pass incomplete short right intended for Nick Westbrook-Ikhine (defended by Jeff Gladney),2.640,1.950
4,6:40,3,10,MIN 36,25,30,Ryan Tannehill pass incomplete short right,1.950,0.880
4,6:36,4,10,MIN 36,28,30,Stephen Gostkowski 54 yard field goal good,0.880,3.000
4,6:31,,,TEN 35,28,30,"Stephen Gostkowski kicks off 65 yards, touchback.",0.000,0.610
4,6:31,1,10,MIN 25,28,30,Kirk Cousins pass complete short right to Adam Thielen for 7 yards (tackle by Kevin Byard),0.610,1.010
4,5:59,2,3,MIN 32,28,30,Dalvin Cook left guard for 7 yards (tackle by Rashaan Evans),1.010,1.530
4,5:15,1,10,MIN 39,28,30,"Dalvin Cook up the middle for no gain (tackle by Jeffery Simmons). Penalty on Irv Smith: Illegal Block Above the Waist, 10 yards (no play)",1.530,0.870
4,4:47,1,20,MIN 29,28,30,Kirk Cousins sacked by Kristian Fulton for -7 yards,0.870,-1.310
4,4:04,2,27,MIN 22,28,30,Dalvin Cook left end for 12 yards (tackle by Jayon Brown),-1.310,-0.360
4,3:59,3,15,MIN 34,28,30,Kirk Cousins pass complete short right to Kyle Rudolph for 8 yards (tackle by Kristian Fulton),-0.360,-0.590
4,3:52,4,7,MIN 42,28,30,"Penalty on Chad Beebe: False Start, 5 yards (no play)",-0.590,-0.910
4,3:52,4,12,MIN 37,28,30,"Britton Colquitt punts 46 yards, returned by Kalif Raymond for 2 yards (tackle by Ameer Abdullah)",-0.910,-0.150
4,3:42,1,10,TEN 19,28,30,Derrick Henry right tackle for 5 yards (tackle by Shamar Stephen),0.150,0.340
4,3:20,2,5,TEN 24,28,30,Ryan Tannehill pass complete short middle to Jonnu Smith for 11 yards (tackle by Anthony Harris),0.340,1.270
4,2:58,1,10,TEN 35,28,30,Ryan Tannehill pass complete short middle to Jonnu Smith for 14 yards (tackle by Anthony Harris and Harrison Smith),1.270,2.190
4,2:31,1,10,TEN 49,28,30,Ryan Tannehill pass complete short right to Corey Davis for 8 yards (tackle by Kris Boyd),2.190,2.730
4,2:27,2,2,MIN 43,28,30,Derrick Henry up the middle for 5 yards (tackle by Ifeadi Odenigbo),2.730,3.050
4,2:00,1,10,MIN 38,28,30,Ryan Tannehill pass incomplete short left intended for Corey Davis (defended by Holton Hill),3.050,2.510
4,1:57,2,10,MIN 38,28,30,Ryan Tannehill pass complete short right to Adam Humphries for 1 yard (tackle by Eric Kendricks),2.510,1.950
4,1:52,,,,,,Timeout #3 by Minnesota Vikings,,
4,1:52,3,9,MIN 37,28,30,Ryan Tannehill pass incomplete deep left intended for Adam Humphries,1.950,0.790
4,1:48,4,9,MIN 37,31,30,Stephen Gostkowski 55 yard field goal good,0.790,3.000
4,1:44,,,TEN 35,31,30,"Stephen Gostkowski kicks off 65 yards, touchback.",0.000,0.610
4,1:44,1,10,MIN 25,31,30,"Kirk Cousins pass incomplete short middle intended for Dalvin Cook. Penalty on Jeffery Simmons: Roughing the Passer, 15 yards (no play)",0.610,1.600
4,1:41,1,10,MIN 40,31,30,Kirk Cousins pass incomplete short right intended for Dalvin Cook,1.600,1.050
4,1:36,2,10,MIN 40,31,30,"Garrett Bradbury aborted snap, recovered by Garrett Bradbury at MIN-26 and returned for -14 yards",1.050,-1.480
4,1:15,3,24,MIN 26,31,30,Kirk Cousins pass incomplete short middle intended for Dalvin Cook (defended by Jadeveon Clowney),-1.480,-1.630
4,1:09,4,24,MIN 26,31,30,Kirk Cousins pass deep right (defended by Kevin Byard) intended for Adam Thielen is intercepted by Amani Hooker at TEN-29 and returned for 3 yards,-1.630,-1.070
4,0:58,1,10,TEN 32,31,30,Ryan Tannehill kneels for no gain,1.070,0.530
4,0:35,2,10,TEN 32,31,30,Ryan Tannehill kneels for -1 yards,0.530,-0.290
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
