Quarter,Time,Tm,Detail,TEN,MIN
1.0,11:44,Titans,Stephen Gostkowski 39 yard field goal,3,0
,6:01,Titans,Stephen Gostkowski 31 yard field goal,6,0
,2:43,Vikings,Dalvin Cook 39 yard rush (Dan Bailey kick),6,7
2.0,8:56,Vikings,Adam Thielen 16 yard pass from Kirk Cousins (Dan Bailey kick),6,14
,3:18,Titans,Stephen Gostkowski 30 yard field goal,9,14
,1:41,Vikings,Dan Bailey 41 yard field goal,9,17
3.0,8:57,Titans,Stephen Gostkowski 51 yard field goal,12,17
,8:04,Vikings,Justin Jefferson 71 yard pass from Kirk Cousins (Dan Bailey kick),12,24
,3:53,Titans,Derrick Henry 1 yard rush (Stephen Gostkowski kick),19,24
,1:22,Titans,Derrick Henry 1 yard rush (pass failed),25,24
4.0,10:17,Vikings,Kyle Rudolph 3 yard pass from Kirk Cousins (pass failed),25,30
,6:31,Titans,Stephen Gostkowski 54 yard field goal,28,30
,1:44,Titans,Stephen Gostkowski 55 yard field goal,31,30
