Player,Pos
Trent Dilfer,QB
Shaun Alexander,RB
Mack Strong,FB
Bobby Engram,WR
Darrell Jackson,WR
Koren Robinson,WR
Walter Jones,LT
Chris Gray,LG
Robbie Tobeck,C
Floyd Wedderburn,RG
Floyd Womack,RT
Lamar King,LDE
Chad Eaton,LDT
John Randle,RDT
Antonio Cochran,RDE
Chad Brown,OLB
Marcus Bell,OLB
Isaiah Kacyvenski,MLB
Shawn Springs,LCB
Ken Lucas,RCB
Reggie Tongue,SS
Marcus Robertson,FS
