Quarter,Time,Tm,Detail,SEA,DAL
2.0,0:12,Seahawks,Shaun Alexander 2 yard rush (Rian Lindell kick),7,0
3.0,0:26,Cowboys,Joey Galloway 39 yard pass from Chad Hutchinson (Billy Cundiff kick),7,7
4.0,10:16,Seahawks,Shaun Alexander 5 yard rush (Rian Lindell kick),14,7
,5:35,Cowboys,Emmitt Smith 1 yard rush (Billy Cundiff kick),14,14
,0:25,Seahawks,Rian Lindell 20 yard field goal,17,14
